id,con,pre,rel,con_polar,con_P,pre_polar,pre_senti,pre_jtype,pre_Q,conpre_polar
16035#1_12002#64,Congress and the Senate should impose term limits on Representatives,"For example, if a company were to collect the ethnic background of clients specifically to deny service to certain populations, that collection itself would become unethical since it is clear how that collection will be used from the start.",neu,advocate,Congress and the Senate impose term limits on Representatives,,,,,neutral
4555#22_4555#23,Grades are necessary to establish specific thresholds.,"For example, to determine if a child should repeat a school year.",sup,advocate,Grades establish specific thresholds,advocate,positive,conseq,"For example, to determine if a child should repeat a school year",consist
2141#1_10134#350,US companies should be prohibited from paying any employee more than 35 times the compensation of their lowest-paid employee.,"Moral standards may include some form of intolerance. Thereby, limiting freedom of speech would also limit freedom of religion.",neu,object,US companies paying any employee more than 35 times the compensation of their lowest-paid employee,,,,,neutral
29365#100_8246#194,Choosing to transition should be a decision made when the individual is able to give meaningful consent.,"We are already taxed enough so getting rid of another tax will not change the economic place of the U.S. But this will help people making less income or none at all. Infact usa today says that the average 38 year old pays about 14,000 dollars per year in state taxes. usatoday.com",neu,advocate,Choosing to transition be a decision made when the individual is able to give meaningful consent,,,,,neutral
12828#1_12984#23,Private education is wrong and should be ended.,Human populations are ingesting bacterial toxins created by GMO plants.,neu,object,Private education,,,,,neutral
19119#8_2214#3084,Hungarian values are distinct from European or global values. Hungary should defend them against the globalisation agenda of the EU and others.,Taking in refugees will increase criminality within host countries.,neu,advocate,Hungary defend Hungarian values against the globalisation agenda of the EU and others,,,,,neutral
27396#1_27396#8,Facebook should do more to limit hate speech.,People should feel safe on social media.,sup,advocate,Facebook do more to limit hate speech,advocate,positive,norm,People should feel safe on social media,consist
13187#13_13187#417,"There should be a chance for repentance, rehabilitation and reintegration for those who made the mistake of joining ISIS and regretted it.","The people that choose to fight for ISIS were not only a product of external influence but a product of the environment they grew up in. When a similar form of extremism occurs within a country's borders rather than abroad, the country should also take responsibility.",sup,advocate,"a chance for repentance, rehabilitation and reintegration for those who made the mistake of joining ISIS and regretted it",object,negative,property,The people that choose to fight for ISIS were not only a product of external influence but a product of the environment they grew up in. ,contrast
1926#1_7738#453,Racially insensitive words in The Adventures of Huckleberry Finn should be changed when it's being taught in school.,David Hume remarked that all uses of the human imagination come from our observations of the external world.,neu,advocate,Racially insensitive words in The Adventures of Huckleberry Finn be changed when it's being taught in school,,,,,neutral
9784#1_9784#10,Vitamin C in severe sepsis should be given some weight and researched thoroughly.,Patients were not evaluated during the same timeframe.,att,advocate,Vitamin C in severe sepsis be given some weight and researched thoroughly,advocate,negative,property,Patients were not evaluated during the same timeframe,consist
2211#1_2211#41,Democracies should only provide official development assistance (ODA) to democratic countries.,Implementing democracy is the best way to sustainably help developing countries.,sup,advocate,Democracies only provide official development assistance (ODA) to democratic countries,advocate,positive,property,Implementing democracy is the best way to sustainably help developing countries,consist
1229#1_9746#31,Humans should stop eating animal meat.,"A well regulated militia is in reference to training, rather than regulation of arms. Well regulated in this sense means disciplined, not governmental regulations.",neu,object,Humans eating animal meat,,,,,neutral
30884#11_8752#49,The values expressed in the UDHR do not apply to every culture and should not be forced upon them.,Transparency between the requirements and the delivered product would provide for better auditing and easier finding of political embezzlement.,neu,object,The values expressed in the UDHR be forced upon them,,,,,neutral
14345#1_1592#215,Hunger Should Be The First Problem To Solve Before All Others.,Our primary duty is to ensure the survival of our community members.,neu,advocate,Hunger Be The First Problem To Solve Before All Others,,,,,neutral
3346#1_3346#3401,"The US should adopt stricter gun control legislation, in the form of the policy defined in the discussion info (click top left menu =\> Info).",Recent events have proven that the current regulatory landscape is not properly enforced. Why would anyone support more regs before those enforcement deficiencies are corrected?,att,advocate,The US adopt stricter gun control legislation in the form of the policy defined in the discussion info (click top left menu =\> Info),advocate,negative,property,Recent events have proven that the current regulatory landscape is not properly enforced,consist
1229#1_2995#1940,Humans should stop eating animal meat.,"Forcing players to stand will just support their point that they're oppressed, victimized and unfree.",neu,object,Humans eating animal meat,,,,,neutral
5601#1_7100#3962,Donald Trump should be impeached.,"Legalisation will at length normalize drug use, which can lead to excess use as with alcohol (drinking games, binge drinking) which can be far more dangerous when done with hard drugs.",neu,advocate,Donald Trump be impeached,,,,,neutral
1634#1_11720#32,Wealthy countries should provide citizens with a universal basic income (UBI).,Repealing the Second Amendment would not make gun ownership illegal.,neu,advocate,Wealthy countries provide citizens with a universal basic income (UBI),,,,,neutral
18595#269_18595#275,"By trying to undermine some of the Trump administration's goals, the author must believe that *some* of the administration's goals/policies are dangerous for the country.",If the author believed that they would have said that. But they didn't. They in fact said the exact opposite of that.,att,advocate,the author believe that *some* of the administration's goals/policies are dangerous for the country,advocate,negative,property,If the author believed that they would have said that. ,consist
12626#83_21064#3,Children have a right to learn in a religiously neutral setting.,Fights over inheritance drives siblings apart unnecessarily.,neu,advocate,Children learn in a religiously neutral setting,,,,,neutral
5601#874_5601#918,"Trump should be impeached on ethical and moral grounds, in part for harming the wellbeing of US citizens.","The presidency should be held by someone who is a moral and intellectual example to the rest of the nation, which Trump is not.",sup,advocate,Trump be impeached on ethical and moral grounds,object,positive,norm,"The presidency should be held by someone who is a moral and intellectual example to the rest of the nation, which Trump is not",contrast
29870#103_29870#104,"Some deeds are beyond forgiving, Therefore, they need to be deterred with Hell.",Humans are unlikely to perform bad deeds if they knew they would suffer excruciatingly.,sup,advocate,Some deeds be deterred with Hell,advocate,positive,conseq,Humans are unlikely to perform bad deeds if they knew they would suffer excruciatingly,consist
2217#1_4415#373,Protesting in front of abortion clinics should be prohibited.,"One could argue that we do not have today the technology to counter the biological effects of decreased Martian gravity, even if we might find solutions in the future. This is not a problem on the clouds of Venus. Other problems that cloud cities on Venus pose can more easily be addressed with today's technologies.",neu,object,Protesting in front of abortion clinics,,,,,neutral
17840#1_17840#2,Podcast guidelines should concern content “intended as” rather than content that “could be construed as” insensitive.,The guideline would be far easier to interpret.,sup,advocate,Podcast guidelines concern content “intended as” insensitive,advocate,positive,conseq,The guideline would be far easier to interpret,consist
13386#1_13386#425,The United States should act as the global police.,It subjects the rest of the world to the whims of the United States of America.,att,advocate,The United States act as the global police,advocate,negative,conseq,It subjects the rest of the world to the whims of the United States of America,consist
1528#1_1528#634,Society should not treat obesity as an acceptable lifestyle choice.,Society in other ways promotes a healthy lifestyle.,sup,object,Society treat obesity as an acceptable lifestyle choice,object,positive,property,Society in other ways promotes a healthy lifestyle,consist
3371#856_3371#879,"People should tailor their beliefs, rather than follow any specific religion.",All religions can be correct.,sup,advocate,People tailor their beliefs,advocate,positive,property,All religions can be correct,consist
17649#51_17649#60,"We should focus on protecting existing species which are threatened, not on resurrecting those which are already extinct.","Certain threatened species, if extinct, can collapse ecosystems. Our collective efforts should be in protecting them.",sup,advocate,focus on protecting existing species which are threatened,object,negative,conseq,"Certain threatened species, if extinct, can collapse ecosystems",contrast
921#3234_12158#44,It is better not to act because of a lack of sufficient information.,Support the single point of contact with a decent central advice and information resource which might be national as well as local,neu,object,act because of a lack of sufficient information,,,,,neutral
1473#1_2027#2207,"Consenting adults should be allowed to compete in official, deadly arena-style tournaments, without having to fear any legal repercussions.","It is extremely hypocritical to say that all drugs should be illegal, but alcohol, which is proven to be one of the worst drugs out there, is fine and should be legal.",neu,advocate,"Consenting adults be allowed to compete in official, deadly arena-style tournaments",,,,,neutral
6351#8_13348#76,The European Union should become a United States of Europe.,The licensing fee also helps fund other BBC services such as BBC radio stations.,neu,advocate,The European Union become a United States of Europe,,,,,neutral
14956#1_3692#926,Public schools (primary and secondary) should have religion as a required (not elective) course.,Paying money for a welfare state is the price of living in a society.,neu,advocate,Public schools (primary and secondary) have religion as a required (not elective) course,,,,,neutral
7721#1_7721#765,"If scientifically possible, humans should become immortal.","Enforcing an opposition to immortality may have serious side-effects. E.g., if outlawed a black market is essentially guaranteed.",sup,advocate,humans become immortal,object,negative,conseq,Enforcing an opposition to immortality may have serious side-effects,contrast
18009#1_19334#22,Everyone's wealth and income information should be publicly available.,We can both investigate and continue the nomination process. If the senate put a clause in Kavanaugh's confirmation that states if he is found guilty then he must resign. If the democrats accept this then we know it was not a delay only tactic.,neu,advocate,Everyone's wealth and income information be publicly available,,,,,neutral
13517#2_13292#34,A doctor or physician should be obligated to comply with requests made by either the patient and/or their next-of-kin and should do so without question.,"Tariffs decrease consumption of goods, which would help to decrease consumption of meats (due to the higher price of them).",neu,advocate,A doctor or physician be obligated to comply with requests made by either the patient and/or their next-of-kin without question,,,,,neutral
26876#68_26876#69,The need to secure private donations filters out politicians and political parties with certain political viewpoints and approaches from being elected.,"Since the majority of money that politicians can raise comes from corporations or wealthier elites, politicians with economically left-wing views (who are in favour of higher taxes and more regulation) tend to struggle to fundraise as compared to other candidates. This hurts them in elections.",sup,advocate,secure private donations,object,negative,conseq,"Since the majority of money that politicians can raise comes from corporations or wealthier elites, politicians with economically left-wing views (who are in favour of higher taxes and more regulation) tend to struggle to fundraise as compared to other candidates",contrast
24657#1_24657#30,The US should build a wall on its Mexican border.,"Aside from the substantial environmental costs of construction, the wall would impose a barrier for wildlife transit. This goes in opposition to existing environmental regulation and would greatly hurt wildlife.",att,advocate,The US build a wall on its Mexican border,advocate,negative,conseq,"Aside from the substantial environmental costs of construction, the wall would impose a barrier for wildlife transit",consist
13282#86_13282#88,"Definitely not, there are many nation-/region-specific laws that Internet platforms have to adhere to, or risk being prosecuted.","German anti-hate speech laws forced Facebook to employ over 1200 German-speaking ""censors"" that deal with reported comments and posts. Guardian",sup,advocate,"many nation-/region-specific laws that Internet platforms adhere to, or risk being prosecuted",advocate,positive,property,"German anti-hate speech laws forced Facebook to employ over 1200 German-speaking ""censors"" that deal with reported comments and posts. Guardian",consist
6980#1_6980#45,Quebec should become an independent country.,Canada needs Quebec to stay.,att,advocate,Quebec become an independent country,object,positive,property,Canada needs Quebec to stay,contrast
11186#1_30410#7,Business organizations should conduct decision-making discussions in writing.,"Countries built on indigenous land need to provide some form of reparations for its treatment of Native peoples, and returning land would be the ideal means.",neu,advocate,Business organizations conduct decision-making discussions in writing,,,,,neutral
18593#308_18593#316,Religious exemption laws should be repealed in order to prevent children suffering from illnesses that could have been prevented.,Religious exemption laws have resulted in some child protection services falsely believing that they can only intervene in cases of medical neglect if a child suffers serious injury or dies. Abolishing religious exemptions would empower child support agencies to help children sooner.,sup,object,Religious exemption laws,object,positive,conseq,Abolishing religious exemptions would empower child support agencies to help children sooner.,consist
1926#1369_30281#538,The language of Twain is inaccessible to children and should therefore be modified.,"The sheer cost of providing quality health care makes universal health care a large expense for governments. Because the resources available to a government are not infinite, they should be utilized towards benefiting those who would be worse off in the absence of its provision.",neu,advocate,The language of Twain be modified,,,,,neutral
2214#1_2214#3715,High-income countries should take in significant numbers of refugees.,Taking in refugees has negative consequences for high-income countries.,att,advocate,High-income countries take in significant numbers of refugees,advocate,negative,conseq,Taking in refugees has negative consequences for high-income countries,consist
11268#1_11268#65,We should build Lagrange colonies before settling on mars,"The lack of natural resources may be overcome by designing the colony around providing value to further space missions, much as trade and transportation hubs overcome harsh conditions on earth, e.g. Saudi Arabia pre-crude oil.",sup,advocate,build Lagrange colonies before settling on mars,advocate,positive,conseq,"The lack of natural resources may be overcome by designing the colony around providing value to further space missions, much as trade and transportation hubs overcome harsh conditions on earth, e.g. Saudi Arabia pre-crude oil",consist
12650#10_12626#112,Constitutions must cover only general principles and not specific topics.,Not belonging to a religious faith is like not belonging to a political party - it is a form of neutrality. And it is this form of neutrality we should demand from teachers. We do not allow teachers to show their affiliation with a political party either.,neu,advocate,Constitutions cover only general principles,,,,,neutral
2408#3_13288#65,The Confederates committed treason against the United States. The United States should not continue to honor or memorialize them.,"It can be assumed that with the technology and medical care that extend the life expectancy of humans, almost every illness can be treated either. The consequences of unhealthy behavior would therefore be low.",neu,object,The United States continue to honor or memorialize The Confederates,,,,,neutral
14119#8_2903#1132,Because of overpopulation not anyone should be allowed to be a parent.,"There is such a big variety of offences and crimes that it is impossible to apply this statement to all of them. For capital crimes there should be fewer options to 'go back to society' than for traffic offenders. A good criterium could be to what extent the crime committed has shocked society; in general (in European courts), this is also used as contributory factor in determining the extent of punishment.",neu,object,anyone be allowed to be a parent,,,,,neutral
4711#1_4711#34,Private property should exist in outer space.,"Private property has been rendered necessary by the scarce resources. Yet, the outer space is an infinite space. That's why private property shouldn't exist in outer space.",att,advocate,Private property exist in outer space,object,positive,property,the outer space is an infinite space,contrast
22454#1_2027#841,Governments should not set policies that limit free speech.,The government has a duty to care for the well-being of its citizens. Allowing any kind of drug to be consumed privately would infringe upon this duty.,neu,object,Governments set policies that limit free speech,,,,,neutral
8148#1_8148#8,"Those who pay tax should be able to earmark some portion of their personal tax contribution to their choice of projects, departments, and other government expenditures.",Public money would be wasted in advertising campaigns as government departments fight over funds.,att,advocate,"Those who pay tax be able to earmark some portion of their personal tax contribution to their choice of projects, departments, and other government expenditures",advocate,negative,conseq,Public money would be wasted in advertising campaigns as government departments fight over funds,consist
5637#1_13517#102,Pregnant people should have the right to choose abortion.,A human owns himself. Forcing other people to stay alive for the benefit of your personal subjective moral imperative is enslavement.,neu,advocate,Pregnant people have the right to choose abortion,,,,,neutral
2903#1_1413#284,"The primary focus of prisons should be rehabilitation and reintegration, not punishment.",The availability of commercial sex partners channels excess male sexual energy away from the wives of other men (thereby preventing adultery) or unwilling sexual partners (thereby preventing rape and sexual assault).,neu,advocate,"The primary focus of prisons be rehabilitation and reintegration, not punishment",,,,,neutral
23850#577_23850#584,"Regardless of what it was meant to be, the Supreme Court is a political institution, and its judgements have political consequences. Such an institution must be adequately reflective of public opinion like all other political institutions in the US are.",The U.S. Supreme Court decides some of the most important and difficult issues in America. These issues should not be decided by Justices' appointed randomly who are unrepresentative of public opinion.,sup,advocate,a political institution be adequately reflective of public opinion,object,negative,norm,These issues should not be decided by Justices' appointed randomly who are unrepresentative of public opinion,contrast
3871#12_10408#37,The educational agenda in many countries has to shift towards more sustainability based education at schools and universities. Especially engineers and technicians are much needed by the RE industry. The important thing is to keep people from pursuing a career in the fossil fuel based industries and thereby prevent job losses in the future.,Politicians should have the right to control aspects of their personal lives and should only be transparent about public activity.,neu,advocate,The educational agenda in many countries shift towards more sustainability based education at schools and universities,,,,,neutral
17763#6_17763#20,Child raising benefits society just as much as any other job and therefore should receive economic recognition.,"The birth of new children is crucial for the maintenance of a substantial workforce, without which an industrial economy can no longer function.",sup,advocate,Child raising receive economic recognition,advocate,positive,property,"The birth of new children is crucial for the maintenance of a substantial workforce, without which an industrial economy can no longer function",consist
2168#1_2168#25,South Korea should abandon its goal of unification with North Korea,The social consequences of unification are numerous and severe.,sup,object,South Korea goal of unification with North Korea,advocate,negative,conseq,The social consequences of unification are numerous and severe,contrast
8987#2_4401#810,Domesticated animals rely on humans' care to survive. We should provide such a care when possible.,"Compared to say calculus or literary analysis, sexual education is far more accessible. A lot of it boils down to the a presentation of factual correct information and teaching some decision skills which most students already possess. Most teachers should be able to teach it.",neu,advocate,provide Domesticated animals humans' care when possible,,,,,neutral
1634#1_1474#830,Wealthy countries should provide citizens with a universal basic income (UBI).,Pedophiles will be less deterred from abusing children than if they were monitored after release.,neu,advocate,Wealthy countries provide citizens with a universal basic income (UBI),,,,,neutral
6351#8_6351#1444,The European Union should become a United States of Europe.,The USE would be what most of the people think the EU is.,sup,advocate,The European Union become a United States of Europe,advocate,positive,conseq,The USE would be what most of the people think the EU is,consist
13623#6_9784#10,Human rights should be reserved for those keys to physical and emotional survival.,Patients were not evaluated during the same timeframe.,neu,advocate,Human rights be reserved for those keys to physical and emotional survival,,,,,neutral
6148#6_6148#140,All speech should be free.,People should learn to be resistant to hateful influences; removing all hateful influences will make people less thick-skinned.,sup,advocate,All speech be free,object,negative,conseq,removing all hateful influences will make people less thick-skinned,contrast
14053#1_14053#257,Governments should provide a universal basic income.,"UBI, could facilitate more creativity, allowing people to focus on what interests them, instead of focusing on surviving.",sup,advocate,Governments provide a universal basic income,advocate,positive,conseq,"UBI, could facilitate more creativity, allowing people to focus on what interests them, instead of focusing on surviving",consist
1634#1_15978#158,Wealthy countries should provide citizens with a universal basic income (UBI).,"Everyone makes mistakes, don't make it mandatory, just preferred.",neu,advocate,Wealthy countries provide citizens with a universal basic income (UBI),,,,,neutral
16566#107_16712#41,"There is a large amount of diversity in humans, and that should be embraced, not ignored.",People should be allowed to have control over their personal data.,neu,advocate,a large amount of diversity in humans be embraced,,,,,neutral
2469#1_2469#1842,The electoral college should be abolished.,"A highly-representative electoral system that selects by consensus can enhance total representation. Nonpartisan blanket primaries using a proportional method followed by general elections using a Condorcet method will identify the common consensus candidate. This incorporates all votes into the final selection and represents the electorate as a whole, rather than exclusively representing some plurality (of voters, majority of EC).",sup,object,The electoral college,object,positive,conseq,A highly-representative electoral system that selects by consensus can enhance total representation,consist
7405#5_4540#71,Changing the time takes some effort and has to be remembered.,The melting of the polar ice caps due to increased temperatures are interfering with natural habitats.,neu,advocate,Changing the time be remembered,,,,,neutral
12626#1_12626#186,Teachers should not be allowed to wear religious symbols at school,"Children need to see religious freedom in action not just be taught it. If their parents are offended so what they would be required to stand inline with the person (teacher) at the dmv, regardless if they like their religion. why can they complain if a person of another religion is teaching their child.",att,object,Teachers be allowed to wear religious symbols at school,advocate,positive,norm,Children need to see religious freedom in action not just be taught it,contrast
2027#414_1922#45,"As an actor within the market as well as object of trade (via state securities), states need to secure they are in an overall superb condition in terms of their data and stats, which are reflecting the worth of each state as well as its impact as a player.",Allowing women to show their nipples could cause accidents.,neu,advocate,states secure they are in an overall superb condition in terms of their data and stats,,,,,neutral
5746#1_5746#264,Routine childhood vaccination against preventable diseases should be mandatory worldwide.,Many people object to getting vaccinated because it violates religious conventions.,sup,advocate,Routine childhood vaccination against preventable diseases be mandatory worldwide,object,negative,property,Many people object to getting vaccinated because it violates religious conventions,contrast
2214#1_27863#16,High-income countries should take in significant numbers of refugees.,"Death in a facility specifically designed for the killing of mice could be painless, e.g. using N2O or CO poisoning.",neu,advocate,High-income countries take in significant numbers of refugees,,,,,neutral
15434#1_13208#143,All religions should be banned on a global scale.,The US has no legal means to have a military presence which is occupying the whole of eastern Syria.,neu,object,All religions on a global scale,,,,,neutral
3529#1_3529#228,An artificial general intelligence (AGI) should be created.,"If humans are not needed anymore for labor done by machines and AIs solve our logic problems (brain work), then we made ourself completely redundant.",att,advocate,An artificial general intelligence (AGI) be created,advocate,negative,conseq,"If humans are not needed anymore for labor done by machines and AIs solve our logic problems (brain work), then we made ourself completely redundant",consist
921#2742_12945#31,"This single instance of crisis involving relatively few people in any case is insignificant in comparison to the massive systemic problem of trolley safety. The one at the lever need not consider the immediate conundrum, but rather the larger underlying question, why do we keep putting people on the track?",A single-payer system mitigates the risk of additional costs to the consumer should they be outside their home town.,neu,object,The one at the lever consider the immediate conundrum,,,,,neutral
16680#1_13817#29,Creators should cater to their fans.,"To tell somebody they can't do what they want with their own piece of cloth, regardless of what pictures are on it, is tyrannical and the opposite of freedom.",neu,advocate,Creators cater to their fans,,,,,neutral
3346#6151_3346#6152,"A particular crime from a single perpetrator can have many individual victims, yes. However, only those who can prove to have been harmed by the act should be compensated. ""All of society"" should not be able to seek damages.","Whether they should be able to or not is irrelevant: They can. You can have crimes against the State, against society, War crimes and crimes against humanity. While some one might not personally agree with them, common human convention holds that such crimes can and do exist, and have been prosecuted.",att,advocate,only those who can prove to have been harmed by the act be compensated,advocate,negative,property,Whether they should be able to or not is irrelevant: They can,consist
14956#1_9863#7,Public schools (primary and secondary) should have religion as a required (not elective) course.,"This might be considered a pro as well as it means that contribution is not reserved to the people with ""skills"". Anyone may contribute however they want.",neu,advocate,Public schools (primary and secondary) have religion as a required (not elective) course,,,,,neutral
2856#1_2871#273,Short term apartment leasing services such as Airbnb should be prohibited in New York City.,Sending U.S. educated and trained DREAMers back to their home countries would improve social equity in other countries while supporting a healthier and more secure U.S. economy.,neu,object,Short term apartment leasing services such as Airbnb in New York City,,,,,neutral
12984#1_26938#57,The US should ban the production and distribution of genetically modified foods.,"The concept of ""super rich"" is not clearly defined. Such ideas could very easily descend into full-fledged collectivism as quality of life increases with revenue (up to 6000$/month) and redistributists would push for more and more taxation until an economic catastrophe.",neu,object,The US the production and distribution of genetically modified foods,,,,,neutral
3529#109_3529#110,People would not have to spend time doing menial work; they could then spend their time on more interesting or pressing pursuits.,Humans can enjoy spending time outside work,sup,object,spend time doing menial work,object,positive,property,Humans can enjoy spending time outside work,consist
2214#1_9903#82,High-income countries should take in significant numbers of refugees.,Everyone is eligible for UBI. It eliminates the nonstop fighting about who deserves what & frees us of the stigma typically attached to programs for the poor.nytimes.com,neu,advocate,High-income countries take in significant numbers of refugees,,,,,neutral
2027#414_2027#415,"As an actor within the market as well as object of trade (via state securities), states need to secure they are in an overall superb condition in terms of their data and stats, which are reflecting the worth of each state as well as its impact as a player.","Germany imployed the ""Agenda 2010"" and increased overall efficiency in the unemployment sector and employment percentages in total.",sup,advocate,states secure they are in an overall superb condition in terms of their data and stats,advocate,positive,conseq,"Germany imployed the ""Agenda 2010"" and increased overall efficiency in the unemployment sector and employment percentages in total",consist
2219#1_29946#25,"The LGBT rights movement campaign should use the narrative that queer individuals were ""born that way"".",There is no reason whatsoever to deny oneself a pleasure that is free of charge and easy to obtain.,neu,advocate,"The LGBT rights movement campaign use the narrative that queer individuals were ""born that way""",,,,,neutral
24252#11_16381#34,The European Union should focus on its numerous internal problems before considering any further expansion.,Somebody who was the victim of a sexual assault would not have to fear being tried for false claims. Their innocence would not hinge on whether their accused assaulter was found guilty but rather whether there was positive evidence that they falsified their claims.,neu,advocate,The European Union focus on its numerous internal problems before considering any further expansion,,,,,neutral
22084#1_22084#21,The UN Charter should be the constitution of the world.,"It contains a supremacy clause in Article 103: ""In the event of a conflict between the obligations of the Members of the United Nations under the present Charter and their obligations under any other international agreement, their obligations under the present Charter shall prevail.""",sup,advocate,The UN Charter be the constitution of the world,advocate,positive,property,"It contains a supremacy clause in Article 103: ""In the event of a conflict between the obligations of the Members of the United Nations under the present Charter and their obligations under any other international agreement, their obligations under the present Charter shall prevail.""",consist
16674#18_16674#45,There is the possibility that health benefits could be developed and this potential must be put above our concerns.,"Theoretically, the possible benefits of CRISPR-Cas9 (a form of DIY gene editing) could include slowing the aging process and lengthening lives. cnn.com",sup,advocate,the possibility that health benefits could be developed be put above our concerns,advocate,positive,conseq,"Theoretically, the possible benefits of CRISPR-Cas9 (a form of DIY gene editing) could include slowing the aging process and lengthening lives. cnn.com",consist
5496#1_5496#1444,"One should believe that God exists, even if they are not sure it's true.","God represents the highest ideal in the hierarchy of ideals. That's what God is, the culmination of all possible ideals that functions as a judge and a model, that's why God is envisioned as the Father. Your father--a good one--acts out the same role as an ideal to reach for. The lack of belief in God either as a metaphysical being or an ideological construct is both simultaneously the ""Death of God,"" and the ""Death of the Ideal."" The death of either is the loss of virtue and morality.",sup,advocate,"believe that God exists, even if they are not sure it's true",object,negative,conseq,The death of either is the loss of virtue and morality,contrast
5496#1_5496#688,"One should believe that God exists, even if they are not sure it's true.",Belief in God in a specific religious context may relieve existential dread.,sup,advocate,"believe that God exists, even if they are not sure it's true",advocate,positive,conseq,Belief in God in a specific religious context may relieve existential dread,consist
3346#1_3346#1418,"The US should adopt stricter gun control legislation, in the form of the policy defined in the discussion info (click top left menu =\> Info).","Weapons for warfare have no business in a household. Only the police need weapons for defense. Ordinary civilians only need guns suited for recreation, sports, and hunting.",sup,advocate,The US adopt stricter gun control legislation in the form of the policy defined in the discussion info (click top left menu =\> Info),object,negative,property,Weapons for warfare have no business in a household,contrast
17783#13_17783#24,The identity of a source may be necessary to validate their information.,Issues arise between the trust of the reader and the reporter when things aren't certainly true. (Source),sup,advocate,The identity of a source to validate their information,object,negative,conseq,Issues arise between the trust of the reader and the reporter when things aren't certainly true. (Source),contrast
14956#1_14956#250,Public schools (primary and secondary) should have religion as a required (not elective) course.,Religion as a required course causes conflicts in the classroom.,att,advocate,Public schools (primary and secondary) have religion as a required (not elective) course,advocate,negative,conseq,Religion as a required course causes conflicts in the classroom,consist
7614#1_7614#81,School should be mandatory.,"Mandatory schooling means teachers have to focus a lot of time and attention on teaching a ""hidden curriculum"" of obedience to authority. This is undemocratic and wasteful.",att,advocate,School be mandatory,advocate,negative,conseq,"Mandatory schooling means teachers have to focus a lot of time and attention on teaching a ""hidden curriculum"" of obedience to authority. ",consist
9841#1_9841#8,Virtual/Augmented Reality Technology should replace human cadavers [dead bodies] to learn anatomy in medical school,AR/VR is a more sustainable and scalable way to teach anatomy in medical school.,sup,advocate,Virtual/Augmented Reality Technology replace human cadavers [dead bodies] to learn anatomy in medical school,advocate,positive,property,AR/VR is a more sustainable and scalable way to teach anatomy in medical school,consist
2091#1_13208#143,The US Should Recognize Palestine as a State.,The US has no legal means to have a military presence which is occupying the whole of eastern Syria.,neu,advocate,The US Recognize Palestine as a State,,,,,neutral
14956#1_14956#287,Public schools (primary and secondary) should have religion as a required (not elective) course.,Religion courses should not be mandatory because of the lack of proof of a deity.,att,advocate,Public schools (primary and secondary) have religion as a required (not elective) course,advocate,negative,property,the lack of proof of a deity,consist
4458#1_10250#747,Democrats should not cooperate with Donald Trump’s presidency.,"A voter can participate to elect, representatives to engage in governing the nation. Parliamentary sovereignty in the U.K provides the entitlements of democracy to prevail, allowing citizens to vote in elections of MP's & government.",neu,object,Democrats cooperate with Donald Trump’s presidency,,,,,neutral
16566#107_9746#31,"There is a large amount of diversity in humans, and that should be embraced, not ignored.","A well regulated militia is in reference to training, rather than regulation of arms. Well regulated in this sense means disciplined, not governmental regulations.",neu,advocate,a large amount of diversity in humans be embraced,,,,,neutral
27863#1_12002#64,Captive reptiles should be fed with living prey.,"For example, if a company were to collect the ethnic background of clients specifically to deny service to certain populations, that collection itself would become unethical since it is clear how that collection will be used from the start.",neu,advocate,Captive reptiles be fed with living prey,,,,,neutral
7304#1_7304#535,Health care should be considered a human right.,The right to health care is an ethical value that should be upheld.,sup,advocate,Health care be considered a human right,advocate,positive,norm,The right to health care is an ethical value that should be upheld,consist
5850#412_5850#603,"Similarly, the ACLU could probably increase donations from conservatives if it stopped defending people like Edward Snowden or Chelsea Manning, but it's clear that this would be a complete betrayal of the organisation's principles. Concerns surrounding donations must be subjugated to the question of whether or not an action is in line with the ACLU's core values.","If ceasing to defend individuals such as Chelsea Manning and Edward Snowden meant the ACLU had more resources to spend on defending speech rights for marginalized communities, that might be justifiable. The reason the ACLU does not do this currently is simply because it values the utility of encouraging whistle blowers, not because of some nebulous ""principle.""",att,advocate,Concerns surrounding donations be subjugated to the question of whether or not an action is in line with the ACLU's core values,advocate,negative,property,"The reason the ACLU does not do this currently is simply because it values the utility of encouraging whistle blowers, not because of some nebulous ""principle.""",consist
13673#1_19119#238,Infant circumcision should be banned.,"Hungarians value homogeneity in their nation, which is shown by the large-scale popular opposition to a common European policy on migration. (QA16)",neu,object,Infant circumcision,,,,,neutral
9060#1_9060#267,Cigarettes should be banned.,Small cigarette stores will go out of business.,att,object,Cigarettes,object,negative,conseq,Small cigarette stores will go out of business,consist
9762#1_10076#14,Some teachers should be armed with guns.,"A moderate policy can only mitigate black suffering, but will never end it.",neu,advocate,Some teachers be armed with guns,,,,,neutral
5496#1_8516#599,"One should believe that God exists, even if they are not sure it's true.","If a person cannot have legal independence then that person should not be allowed to vote. Presumably, minors and the mentally disabled have caretakers representing their interests. An argument could be made that emancipated minors should be allowed representation but in general, minors should not vote.",neu,advocate,"believe that God exists, even if they are not sure it's true",,,,,neutral
