pairid,argid,propid_to,propid_from,text_to,text_from,relation,sa_conf_npvp,sa_cons_npvp
00439_5#00439_5_4,00439,00439_5,00439_5_4,The Three Gorges Dam is a good idea.,China is taking steps to limit garbage glut behind TGD,1,0.014522902972742575,0.019054851045421338
00439_5#00439_5_5,00439,00439_5,00439_5_5,The Three Gorges Dam is a good idea.,The Three Gorges Dam has helped reduce oil production and emission.,1,0.2585308703053391,0.9508720039849267
00439_5#00439_5_6,00439,00439_5,00439_5_6,The Three Gorges Dam is a good idea.,"The hydroelectric TGD should not be considered renewable due to social, environmental costs.",-1,0.12850155802571558,8.67656671349651e-05
00439_5#00439_5_7,00439,00439_5,00439_5_7,The Three Gorges Dam is a good idea.,"The TGD is a hydroelectric, renewable-energy project",1,5.45738855983048e-05,0.0080794973260738
00439_5#00439_5_8,00439,00439_5,00439_5_8,The Three Gorges Dam is a good idea.,China is acting to reduce downstream flooding risks,1,0.0023341381883133934,0.171198306516664
00439_5#00439_5_9,00439,00439_5,00439_5_9,The Three Gorges Dam is a good idea.,Chinas Three Gorges Dam helps reduce the risk of flooding,1,0.26605182799509697,0.9140170042580135
00578_10#00578_10_1,00578,00578_10,00578_10_1,Global warming is chiefly caused by humans not by natural phenomenon.,Pace of global warming is faster than historic record,1,0.07356567986211732,0.27831504041758043
00578_10#00578_10_11,00578,00578_10,00578_10_11,Global warming is chiefly caused by humans not by natural phenomenon.,"The mid-Holecene warming 6,000 years ago was part of astronomical forcings that can""t explain the extent of todays warming.",1,0.03168040911477336,0.04110195250826467
00578_10#00578_10_12,00578,00578_10,00578_10_12,Global warming is chiefly caused by humans not by natural phenomenon.,"If the earth was following natural trends, we should be experiencing a cooling trend now.",1,0.039384945910191614,0.04536907378401676
00578_10#00578_10_14,00578,00578_10,00578_10_14,Global warming is chiefly caused by humans not by natural phenomenon.,Cooling between 1940 and 1975 can be attributed to sulphate aerosols,1,0.012915462400958744,0.05006594564660726
00578_10#00578_10_2,00578,00578_10,00578_10_2,Global warming is chiefly caused by humans not by natural phenomenon.,The earth warmed significantly between 1910 and 1940 when emissions were not very high:,-1,0.015356828784652754,0.017038208518591433
00578_10#00578_10_3,00578,00578_10,00578_10_3,Global warming is chiefly caused by humans not by natural phenomenon.,The Arctic has not consistently warmed in the way that human-caused global warming theory would have it,-1,0.26059197426399733,0.07343330199342883
00578_10#00578_10_4,00578,00578_10,00578_10_4,Global warming is chiefly caused by humans not by natural phenomenon.,The Medieval Warm Period is not comparable to todays warming,1,0.04467802752768604,0.024703632200803308
00578_10#00578_10_5,00578,00578_10,00578_10_5,Global warming is chiefly caused by humans not by natural phenomenon.,The temperature record shows no consistent global warming trend,-1,0.26401233590383566,0.06814425829819924
00578_10#00578_10_6,00578,00578_10,00578_10_6,Global warming is chiefly caused by humans not by natural phenomenon.,The earths climate has always changed through history due to natural cycles.,-1,0.035866963062944845,0.039907007568592556
00578_10#00578_10_7,00578,00578_10,00578_10_7,Global warming is chiefly caused by humans not by natural phenomenon.,"""Proof"" of anthropogenic global warming is an impossible standard in theory-based science.",1,0.32946851250736287,0.0849430972335374
00578_10#00578_10_8,00578,00578_10,00578_10_8,Global warming is chiefly caused by humans not by natural phenomenon.,Human carbon emissions have dramatically accelerated global warming,1,0.0946788546029571,0.3675826818751292
00578_10#00578_10_9,00578,00578_10,00578_10_9,Global warming is chiefly caused by humans not by natural phenomenon.,The accelerating rate of global warming may be naturally caused.,-1,0.0728086585951616,0.28063842535371325
00586_10#00586_10_1,00586,00586_10,00586_10_1,Abstinence-only education is a better idea than comprehensive sex education.,Peer support of abstinence erodes as teens move through adolescence,-1,0.05134305578704977,0.7578917186221197
00586_10#00586_10_2,00586,00586_10,00586_10_2,Abstinence-only education is a better idea than comprehensive sex education.,Abstinence-only makes it socially acceptable to abstain from sex,1,0.2704445623649692,0.962624283333305
00586_10#00586_10_3,00586,00586_10,00586_10_3,Abstinence-only education is a better idea than comprehensive sex education.,Youth want a strong abstinence message and education,1,0.0026824726442687633,0.9547044655714814
00666_1#00666_1_1,00666,00666_1,00666_1_1,Proposals to improve Debatepedia.org are good.,Creating rating system would require major software developments.,-1,1.1400853006101178e-05,0.024100154249423033
00666_1#00666_1_2,00666,00666_1,00666_1_2,Proposals to improve Debatepedia.org are good.,These votes can never be 100% reliable and accurate.,-1,0.5597736464136887,0.0014917981061649938
00666_1#00666_1_3,00666,00666_1,00666_1_3,Proposals to improve Debatepedia.org are good.,Rating system would allow polling on quality of arguments.,1,0.0004205112775733495,0.9217696679796726
00666_1#00666_1_4,00666,00666_1,00666_1_4,Proposals to improve Debatepedia.org are good.,Abuse of the voting system can be prevented.,1,0.026042824386387355,0.04686805504163852
00666_1#00666_1_5,00666,00666_1,00666_1_5,Proposals to improve Debatepedia.org are good.,Voting system would provide feedback.,1,0.00019177132641606248,0.46480810015357793
00666_1#00666_1_6,00666,00666_1,00666_1_6,Proposals to improve Debatepedia.org are good.,"Creating an ""elite"".",-1,7.945407356637005e-05,0.114195700836529
00666_1#00666_1_7,00666,00666_1,00666_1_7,Proposals to improve Debatepedia.org are good.,Voting on arguments could just follow partisan lines.,-1,0.006067868380983966,0.034207996946082245
00677_4#00677_4_1,00677,00677_4,00677_4_1,Civil unions are the superior alternative to gay marriage.,"You cannot ask a lover, ""will you civil union me?"".",-1,0.0036899268926506687,0.0019740914158245288
00677_4#00677_4_2,00677,00677_4,00677_4_2,Civil unions are the superior alternative to gay marriage.,"Civil union couples can say they""re ""married""",1,0.008228749694875293,0.3945154704113763
00677_4#00677_4_3,00677,00677_4,00677_4_3,Civil unions are the superior alternative to gay marriage.,"Civil unions give what matters: equal benefits not ""marriage""",1,0.19920243096705692,0.9282998855555866
00677_4#00677_4_4,00677,00677_4,00677_4_4,Civil unions are the superior alternative to gay marriage.,"Word ""marriage"" is symbolic, should not be denied to gays",-1,0.18287861857531595,0.22535293884323046
00979_2#00979_2_10,00979,00979_2,00979_2_10,Evolution is fact rather than fiction.,"Since evolution would theoretically take so long to occur, there has been no recorded occurence of one species evolving into another in all human history.",-1,0.04725016904190463,0.03921092928167904
00979_2#00979_2_12,00979,00979_2,00979_2_12,Evolution is fact rather than fiction.,"The theory of evolution is based around the idea that creatures genetically mutate to survive better, but mutations (which are often caused by concentration of the gene pool due to competitors with less helpful-to-survival genes having died off) have actually only served to distort a species when they occur.",-1,0.06097548587753358,0.013917863277936014
00979_2#00979_2_13,00979,00979_2,00979_2_13,Evolution is fact rather than fiction.,"Evidence is neutral, and can be interpreted in more than one way.",-1,0.022554417704340912,0.5207966424476949
00979_2#00979_2_2,00979,00979_2,00979_2_2,Evolution is fact rather than fiction.,Not all creationists believe in the 6000 year old model of the age of the Earth.,-1,0.01224879394589939,0.00528336474765319
00979_2#00979_2_3,00979,00979_2,00979_2_3,Evolution is fact rather than fiction.,Descent from the fittest does not necessarily mean improvement.,-1,0.1569896738722748,0.007173332208021367
00979_2#00979_2_5,00979,00979_2,00979_2_5,Evolution is fact rather than fiction.,"We""re not saying that species never go through any changes whatsoever (microevolution), we""re only arguing that it is impossible for really drastic changes to happen.",-1,0.18911699348985833,0.024524730760615614
00979_2#00979_2_6,00979,00979_2,00979_2_6,Evolution is fact rather than fiction.,Duplication does not add new information.,-1,0.18210972955262594,0.013439764539704437
00982_3#00982_3_1,00982,00982_3,00982_3_1,Mission to the Moon is preferred to Mars.,Returning to the Moon also fulfills human impulse to explore,1,0.03964437111495046,0.8800327733161846
00982_3#00982_3_10,00982,00982_3,00982_3_10,Mission to the Moon is preferred to Mars.,Mission to Mars creates needed heroes,-1,0.03088751371098134,0.7651722369756184
00982_3#00982_3_11,00982,00982_3,00982_3_11,Mission to the Moon is preferred to Mars.,Its time for humans to return to the Moon after decades away.,1,0.040534011849557294,0.806794634651544
00982_3#00982_3_12,00982,00982_3,00982_3_12,Mission to the Moon is preferred to Mars.,Going back to the Moon is not inspiring.,-1,0.8819638643551252,0.055076030224968
00982_3#00982_3_13,00982,00982_3,00982_3_13,Mission to the Moon is preferred to Mars.,Mission to Mars holds possibility of finding life there.,-1,0.02263439785560527,0.6361070172178789
00982_3#00982_3_2,00982,00982_3,00982_3_2,Mission to the Moon is preferred to Mars.,Going to the Moon is fundamentally inspiring - even a return trip.,1,0.03920720952971191,0.9295765078020695
00982_3#00982_3_3,00982,00982_3,00982_3_3,Mission to the Moon is preferred to Mars.,Returning to the Moon would be an unjust act of nostalgia.,-1,0.805212247444722,0.24345064375373376
00982_3#00982_3_4,00982,00982_3,00982_3_4,Mission to the Moon is preferred to Mars.,Mission to Mars would inspire the world,-1,0.030956666968664937,0.7724310590968864
00982_3#00982_3_5,00982,00982_3,00982_3_5,Mission to the Moon is preferred to Mars.,Returning to Moon will re-kindle the same feelings as Apollo.,1,0.03571697759780016,0.8413896358158597
00982_3#00982_3_6,00982,00982_3,00982_3_6,Mission to the Moon is preferred to Mars.,A longer-stay and a Moonbase would be inspiring.,1,0.0224824104319735,0.6001724161637699
00982_3#00982_3_7,00982,00982_3,00982_3_7,Mission to the Moon is preferred to Mars.,World needs inspiring Mars mission now; Moon-mission delays this.,-1,0.5928434767421343,0.4840975612313672
00982_3#00982_3_8,00982,00982_3,00982_3_8,Mission to the Moon is preferred to Mars.,Going to Mars would unify the world,-1,0.018686809344632134,0.43072475992823145
00982_3#00982_3_9,00982,00982_3,00982_3_9,Mission to the Moon is preferred to Mars.,Humans can go back to the Moon and on to Mars.,1,0.03204021045278454,0.899459695023633
01066_6#01066_6_1,01066,01066_6,01066_6_1,"Big, liberal government is better than small, conservative government.",Power is better given to individuals than governments,-1,0.07244909623167721,0.9328593871823373
01066_6#01066_6_2,01066,01066_6,01066_6_2,"Big, liberal government is better than small, conservative government.",Big govt is individuals working to meet collective needs,1,0.005823011660913909,0.2416282226801525
01066_6#01066_6_3,01066,01066_6,01066_6_3,"Big, liberal government is better than small, conservative government.",Big govt often hurts people its trying to help,-1,0.8397845929927988,0.016820953509212096
01066_6#01066_6_4,01066,01066_6,01066_6_4,"Big, liberal government is better than small, conservative government.","Government is by, of, and for the people/individual.",1,0.0016588235523744192,0.015492243343910538
01066_6#01066_6_6,01066,01066_6,01066_6_6,"Big, liberal government is better than small, conservative government.",Small government encourages self-reliance,-1,0.004344059693016512,0.9135086161888626
01066_6#01066_6_7,01066,01066_6,01066_6_7,"Big, liberal government is better than small, conservative government.",Big govt engenders a damaging reliance on govt,-1,0.8441148984149847,0.20316682529433625
01066_6#01066_6_8,01066,01066_6,01066_6_8,"Big, liberal government is better than small, conservative government.",Big government can better help individuals.,1,0.013207009725938485,0.9791561727224944
01087_2#01087_2_8,01087,01087_2,01087_2_8,Teacher-student friendships on Facebook are good.,Any measure to protect students is a good thing.,-1,0.0005098168917201057,0.9488283248995063
01151_13#01151_13_1,01151,01151_13,01151_13_1,Single-payer health care is a good idea.,A profit health care environment results in more frivolous lawsuits,1,0.0017575501341270533,0.20733163045158198
01151_13#01151_13_2,01151,01151_13,01151_13_2,Single-payer health care is a good idea.,Universal health care reduces administrative costs (i.e. paper work),1,0.002088029580824358,0.03733257380982097
01151_13#01151_13_3,01151,01151_13,01151_13_3,Single-payer health care is a good idea.,Universal health care would increase frivolous malpractice lawsuits,-1,5.958419927522754e-06,0.011984913234469733
01151_13#01151_13_4,01151,01151_13,01151_13_4,Single-payer health care is a good idea.,The costs of transition to a universal health care program would be large:,-1,0.00918596117193464,0.04565354486881276
01151_13#01151_13_5,01151,01151_13,01151_13_5,Single-payer health care is a good idea.,"US has a big bureaucracy now; universal care won""t make it bigger",1,0.316554587229461,0.0019146183118157654
01151_13#01151_13_6,01151,01151_13,01151_13_6,Single-payer health care is a good idea.,"Universal health care creates a big, inefficient bureaucracy.",-1,0.002905765025855246,0.01677335107622614
01278_4#01278_4_1,01278,01278_4,01278_4_1,We would be more secure if military expenditures were replaced with better management of our planets resources.,Military forces are poor protection against terrorists.,1,0.013530981384300988,0.05181101578017876
01278_4#01278_4_2,01278,01278_4,01278_4_2,We would be more secure if military expenditures were replaced with better management of our planets resources.,"The United States military offers poor protection if China, for example, would get better value by buying key assets of the United States than by invading it.",1,0.47769183482359184,0.059078200730384854
01278_4#01278_4_3,01278,01278_4,01278_4_3,We would be more secure if military expenditures were replaced with better management of our planets resources.,"Military forces, as in Libya in early 2011, are sometimes used to suppress popular uprisings.",1,0.008085970627002517,0.03117257339844981
01278_4#01278_4_4,01278,01278_4,01278_4_4,We would be more secure if military expenditures were replaced with better management of our planets resources.,United States military might allows the US to protect its national interests worldwide.,-1,0.16659110354127038,0.21309150867786636
01278_4#01278_4_5,01278,01278_4,01278_4_5,We would be more secure if military expenditures were replaced with better management of our planets resources.,"A strong military can protect countries from totalitarian regimes, such as in North Korea, whose disastrous policies cause hunger for many of their citizens.",-1,0.03339314149355605,0.01463145136734903
01278_4#01278_4_6,01278,01278_4,01278_4_6,We would be more secure if military expenditures were replaced with better management of our planets resources.,"Access to abundant, nutritious food and clean water, energy independence, and climate stability are better measures of personal, national, and global security than military might.",1,0.1867097900534702,0.747967119041288
01278_4#01278_4_7,01278,01278_4,01278_4_7,We would be more secure if military expenditures were replaced with better management of our planets resources.,Food insecurty is a main reason for popular uprisings taking place in a number of countries in early 2011.,1,0.810682391767056,0.016355607835210492
00007_14#00007_14_1,00007,00007_14,00007_14_1,"The ""enhanced interrogation techniques"" of the Bush administration were justified.","Enhanced interrogations inflict ""severe pain/suffering"" (torture).",-1,0.09356979636818993,0.9572969994109193
00007_14#00007_14_2,00007,00007_14,00007_14_2,"The ""enhanced interrogation techniques"" of the Bush administration were justified.","Enhanced interrogations don""t inflict severe pain/suffering (not torture).",1,0.8832876201469921,0.7690785495170546
00007_14#00007_14_3,00007,00007_14,00007_14_3,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Aggressive enhanced interrogation techniques were rarely used.,1,0.9066190014770681,0.0006783394810879773
00007_14#00007_14_4,00007,00007_14,00007_14_4,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Enhanced interrogations commonly caused permanent damage.,-1,0.9602327854740578,0.06303005122239357
00007_14#00007_14_5,00007,00007_14,00007_14_5,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Bush wrongly created own definition of torture,-1,0.969890987443906,0.00846715094016085
00016_15#00016_15_1,00016,00016_15,00016_15_1,Medical marijuana dispensaries are a good idea.,People should be free to use marijuana as long as it harms no one else,1,0.3492291693348381,0.15932413175327628
00016_15#00016_15_10,00016,00016_15,00016_15_10,Medical marijuana dispensaries are a good idea.,Illegal medical marijuana forces sufferers to purchase on the black market.,1,0.042438756331981166,0.000982844969309008
00016_15#00016_15_2,00016,00016_15,00016_15_2,Medical marijuana dispensaries are a good idea.,The choice to use marijuana should be based on individual experience,1,0.0014640560106537659,0.38106256040048
00016_15#00016_15_3,00016,00016_15,00016_15_3,Medical marijuana dispensaries are a good idea.,Legalizing medical marijuana would make roads more dangerous.,-1,0.08634930623913191,0.6981699971138529
00016_15#00016_15_4,00016,00016_15,00016_15_4,Medical marijuana dispensaries are a good idea.,Individuals have right to pursue what they believe are best treatments.,1,0.0011150638294695832,0.8557444977431159
00016_15#00016_15_5,00016,00016_15,00016_15_5,Medical marijuana dispensaries are a good idea.,Marijuanas public health costs violate tax-payer liberties.,-1,0.011048603445322056,1.3125154816352594e-05
00016_15#00016_15_6,00016,00016_15,00016_15_6,Medical marijuana dispensaries are a good idea.,State should not override doctor-patient decisions on marijuana,1,0.48923707520011755,0.0026414053306754916
00016_15#00016_15_7,00016,00016_15,00016_15_7,Medical marijuana dispensaries are a good idea.,The State is justified in protecting individuals from themselves,-1,0.006416447836210366,0.013223581404236821
00016_15#00016_15_8,00016,00016_15,00016_15_8,Medical marijuana dispensaries are a good idea.,Marijuana is not a threat to society only because it is illegal,-1,0.33677793408912754,0.01456929490410166
00016_15#00016_15_9,00016,00016_15,00016_15_9,Medical marijuana dispensaries are a good idea.,Marijuana use directly threatens others liberties.,-1,0.9347853714786319,0.0007865461173797425
00181_6#00181_6_1,00181,00181_6,00181_6_1,Mercenaries and private military contractors are a good idea.,Mercenaries should be ensured the protection of the law.,1,0.051496240385571275,0.8853217310449114
00181_6#00181_6_2,00181,00181_6,00181_6_2,Mercenaries and private military contractors are a good idea.,Governments rely on mercenaries at a expense of developing armies.,-1,0.7306199643647632,0.8387697202067455
00181_6#00181_6_3,00181,00181_6,00181_6_3,Mercenaries and private military contractors are a good idea.,"Mercenaries are bought, do not protect the powerless.",-1,0.8988961195452815,0.02714902276766274
00187_6#00187_6_1,00187,00187_6,00187_6_1,The 2009 US economic stimulus package is a good plan to combat recession.,Majority of US stimulus is immediate to fight recession now.,1,0.747843624725131,0.9647282171225897
00187_6#00187_6_2,00187,00187_6,00187_6_2,The 2009 US economic stimulus package is a good plan to combat recession.,"Longer-term spending is not ""waste""; helps sustain stimulus",1,0.06317996268281341,0.9563623942844124
00187_6#00187_6_3,00187,00187_6,00187_6_3,The 2009 US economic stimulus package is a good plan to combat recession.,2009 US stimulus lacks short-term spending for immediate stimulus,-1,0.9582050530652078,0.05581838027307921
00187_6#00187_6_4,00187,00187_6,00187_6_4,The 2009 US economic stimulus package is a good plan to combat recession.,Much stimulus rightly goes toward long-term societal needs,1,0.020518475454147995,0.010769686634643968
00246_2#00246_2_1,00246,00246_2,00246_2_1,The farming and consumption of veal is acceptable.,Calves are kept in inhuman conditions in hutches,-1,0.02671555078934296,0.007278451105751879
00246_2#00246_2_2,00246,00246_2,00246_2_2,The farming and consumption of veal is acceptable.,Hutches are an important part of classic veal production.,1,0.0018240893615290511,0.9689758443583846
00246_2#00246_2_3,00246,00246_2,00246_2_3,The farming and consumption of veal is acceptable.,Hutches can be more comfortable for veal calves.,1,0.0017561849643844434,0.9224980878182985
00246_2#00246_2_4,00246,00246_2,00246_2_4,The farming and consumption of veal is acceptable.,Hutches could be abandoned without banning veal production completely.,1,0.9785142654407899,0.9567658844751281
00272_3#00272_3_1,00272,00272_3,00272_3_1,Male circumcision is beneficial and/or ethically sound.,Circumcision does not interfere with sexual pleasure,1,0.35544045776632927,0.5138371342621461
00272_3#00272_3_10,00272,00272_3,00272_3_10,Male circumcision is beneficial and/or ethically sound.,Foreskin is important to sexual intercourse and pleasure,-1,0.0005881956391922355,0.9489108428697364
00272_3#00272_3_11,00272,00272_3,00272_3_11,Male circumcision is beneficial and/or ethically sound.,Circumcision can cause male impotency,-1,0.9367282146528877,0.0010301458775677304
00272_3#00272_3_12,00272,00272_3,00272_3_12,Male circumcision is beneficial and/or ethically sound.,Circumcision impairs sensing/avoiding premature ejaculation,-1,0.9367012319487344,0.0009371940089553052
00272_3#00272_3_2,00272,00272_3,00272_3_2,Male circumcision is beneficial and/or ethically sound.,Circumcision shortens the penis slightly,-1,0.725226019155771,0.703216329851724
00272_3#00272_3_3,00272,00272_3,00272_3_3,Male circumcision is beneficial and/or ethically sound.,Circumcised men engage in more varied sexual activity.,1,0.019441201664932562,0.8160439831287641
00272_3#00272_3_4,00272,00272_3,00272_3_4,Male circumcision is beneficial and/or ethically sound.,Those circumcised in adulthood note improved sex,1,0.0009787783576279414,0.9220196205478846
00272_3#00272_3_5,00272,00272_3,00272_3_5,Male circumcision is beneficial and/or ethically sound.,Sex with uncircumcised penis can be painful for men,1,0.43919421811499065,0.8820678244191488
00272_3#00272_3_6,00272,00272_3,00272_3_6,Male circumcision is beneficial and/or ethically sound.,Uncircumcised men often pass infections/diseases to spouses,1,0.17221377568165672,0.01114184508713962
00272_3#00272_3_7,00272,00272_3,00272_3_7,Male circumcision is beneficial and/or ethically sound.,Circumcised and uncircumcised men have statistical equal stamina,-1,0.003288952656312979,0.9825734749561883
00272_3#00272_3_8,00272,00272_3,00272_3_8,Male circumcision is beneficial and/or ethically sound.,Circumcision increases sexual stamina and satisfaction.,1,0.0008693879819542588,0.9356391757165606
00272_3#00272_3_9,00272,00272_3,00272_3_9,Male circumcision is beneficial and/or ethically sound.,Circumcision does not interfere with sexual performance,1,0.4524205115265478,0.4693269289427857
00397_9#00397_9_1,00397,00397_9,00397_9_1,This House believes that Facebook does more harm than good.,Social networking sites have agreements that explicitly say that information can be used commercially in any way.,-1,0.18180141597059307,0.015470653462775798
00397_9#00397_9_2,00397,00397_9,00397_9_2,This House believes that Facebook does more harm than good.,It is unethical for social network sites to use personal information to enable advertisers to better target you as a consumer.,1,0.6682072717323723,0.6615359053277133
00397_9#00397_9_3,00397,00397_9,00397_9_3,This House believes that Facebook does more harm than good.,More targeted advertising is of greater value to the consumer.,-1,0.11032963381178044,0.05915542953773594
00586_2#00586_2_1,00586,00586_2,00586_2_1,Abstinence-only education is a better idea than comprehensive sex education.,Abstinence-only is too expensive for so few results,-1,0.6649574096096958,0.2928595852326714
00586_2#00586_2_2,00586,00586_2,00586_2_2,Abstinence-only education is a better idea than comprehensive sex education.,Some profit from promoting sexually active teens.,1,0.0017995962755768865,0.09514492736762038
00586_2#00586_2_3,00586,00586_2,00586_2_3,Abstinence-only education is a better idea than comprehensive sex education.,Teaching abstinence saves taxpayers money,1,0.005381995510005864,0.6093240571974187
00758_2#00758_2_1,00758,00758_2,00758_2_1,"A progressive tax system is preferred to, for example, a flat tax.",Progressive tax systems discourages foreign investments,-1,0.9057612396404913,0.017855163555401055
00758_2#00758_2_2,00758,00758_2,00758_2_2,"A progressive tax system is preferred to, for example, a flat tax.",Progressive taxes adjust for winners and losers of globalization,1,0.010854733778669662,0.9401965264940734
00758_2#00758_2_3,00758,00758_2,00758_2_3,"A progressive tax system is preferred to, for example, a flat tax.",Citizens around the world are against Flat Tax,1,0.8940040473683454,0.029311067726591696
00758_2#00758_2_4,00758,00758_2,00758_2_4,"A progressive tax system is preferred to, for example, a flat tax.",The Flat Tax is proving successful in many countries,-1,0.000835789279140748,0.9260581753146648
00767_6#00767_6_1,00767,00767_6,00767_6_1,"Big, liberal government is better than small, conservative government.",Big government can better help individuals.,1,0.013207009725938485,0.9791561727224944
00767_6#00767_6_2,00767,00767_6,00767_6_2,"Big, liberal government is better than small, conservative government.","Government is by, of, and for the people/individual.",1,0.0016588235523744192,0.015492243343910538
00767_6#00767_6_3,00767,00767_6,00767_6_3,"Big, liberal government is better than small, conservative government.",Big govt is individuals working to meet collective needs,1,0.005823011660913909,0.2416282226801525
00767_6#00767_6_4,00767,00767_6,00767_6_4,"Big, liberal government is better than small, conservative government.",Power is better given to individuals than governments,-1,0.07244909623167721,0.9328593871823373
00767_6#00767_6_5,00767,00767_6,00767_6_5,"Big, liberal government is better than small, conservative government.",Big govt engenders a damaging reliance on govt,-1,0.8441148984149847,0.20316682529433625
00767_6#00767_6_7,00767,00767_6,00767_6_7,"Big, liberal government is better than small, conservative government.",Small government encourages self-reliance,-1,0.004344059693016512,0.9135086161888626
00767_6#00767_6_8,00767,00767_6,00767_6_8,"Big, liberal government is better than small, conservative government.",Big govt often hurts people its trying to help,-1,0.8397845929927988,0.016820953509212096
00865_4#00865_4_1,00865,00865_4,00865_4_1,The 2009 US economic stimulus package is a good plan to combat recession.,Citizens voted for change reflected in 2009 US stimulus,1,0.7521551901269543,0.8935445541110074
00865_4#00865_4_2,00865,00865_4,00865_4_2,The 2009 US economic stimulus package is a good plan to combat recession.,American public is ambivalent about 2009 US stimulus plan,-1,0.968908654994661,0.011519419899204575
00865_4#00865_4_3,00865,00865_4,00865_4_3,The 2009 US economic stimulus package is a good plan to combat recession.,A majority of Americans supported Obamas stimulus,1,0.00879083150477309,0.06698504433368516
01030_1#01030_1_1,01030,01030_1,01030_1_1,The US and NATO mission in Libya is legal and justifiable.,Libyan intervention critical to US interests,1,0.15915366621035604,0.8335569408874508
01030_1#01030_1_10,01030,01030_1,01030_1_10,The US and NATO mission in Libya is legal and justifiable.,Libyan engagement wrongly uses previously appropriated Cong. funds.,-1,0.010252573837006649,1.545048803124337e-05
01030_1#01030_1_11,01030,01030_1,01030_1_11,The US and NATO mission in Libya is legal and justifiable.,Libya war expands imperial presidency farther than ever,-1,0.06480185518956119,0.1210971431388382
01030_1#01030_1_2,01030,01030_1,01030_1_2,The US and NATO mission in Libya is legal and justifiable.,Libya mission prevented refugees flooding Tunisia/Egypt.,1,0.03428052041451363,0.018182290237583738
01030_1#01030_1_3,01030,01030_1,01030_1_3,The US and NATO mission in Libya is legal and justifiable.,US has interest in enforcing UN resolution 1974,1,0.006994280049780432,0.027389956619886285
01030_1#01030_1_5,01030,01030_1,01030_1_5,The US and NATO mission in Libya is legal and justifiable.,"Without US involvement, Libya would turn into a disaster",1,0.9113445378947937,0.02538331120573429
01030_1#01030_1_6,01030,01030_1,01030_1_6,The US and NATO mission in Libya is legal and justifiable.,Many factors came together to favor US action in Libya,1,0.28093737237615524,0.8521695776344447
01030_1#01030_1_7,01030,01030_1,01030_1_7,The US and NATO mission in Libya is legal and justifiable.,Protecting civilians in Libya is key US value/interest,1,0.05891223256438127,0.8498003802675003
01030_1#01030_1_8,01030,01030_1,01030_1_8,The US and NATO mission in Libya is legal and justifiable.,Obama first accused of deliberating too much over Libya,1,0.8747635776347046,0.10069664545577939
01030_1#01030_1_9,01030,01030_1,01030_1_9,The US and NATO mission in Libya is legal and justifiable.,Inaction in Libya would have weakened Arab spring,1,0.7874388283691187,0.0255497625929478
01101_7#01101_7_1,01101,01101_7,01101_7_1,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Kyoto Protocol employs inefficient government controls,-1,0.0426824323129176,0.00021986190147014418
01101_7#01101_7_2,01101,01101_7,01101_7_2,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Regulating C02 is wrong approach; market investments are better,-1,0.1247127024724359,0.06454223542621584
01101_7#01101_7_3,01101,01101_7,01101_7_3,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,"Markets alone won""t reduce emissions; Kyoto necessary",1,0.04731543279696999,0.06806030427946078
01132_7#01132_7_1,01132,01132_7,01132_7_1,This House believes that advances in science present a threat.,Fertilizers and modern machinery are essential for food security.,-1,0.8007154570586794,0.09800271857276815
01132_7#01132_7_2,01132,01132_7,01132_7_2,This House believes that advances in science present a threat.,Global warming is mostly caused by advances in science.,1,0.9700594621394165,0.8369462411372106
01132_7#01132_7_3,01132,01132_7,01132_7_3,This House believes that advances in science present a threat.,"Genetically modified organisms enhance low-income countries"" dependency on multinationals.",1,0.014352311380283388,0.01002614983621086
01194_1#01194_1_1,01194,01194_1,01194_1_1,Direct democracy is good.,Direct democracy generally reduces the risks of corruption.,1,0.007838618023624299,0.98160117686259
01194_1#01194_1_2,01194,01194_1,01194_1_2,Direct democracy is good.,Unorganized minorities are vulnerable in direct democracy,-1,0.003717765570706971,0.9009784056146657
01194_1#01194_1_3,01194,01194_1,01194_1_3,Direct democracy is good.,Rep government can lead to conflicts of interest.,1,0.6397380780819131,0.01600278237462713
01194_1#01194_1_4,01194,01194_1,01194_1_4,Direct democracy is good.,Direct democracy creates risk of corrupt recall efforts.,-1,0.955129242650359,0.020082177617013627
00007_14#00007_14_6,00007,00007_14,00007_14_6,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Interrogations are not torture when no intent to torture.,1,0.9750958167976844,0.0011646547628492653
00007_14#00007_14_7,00007,00007_14,00007_14_7,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Enhanced interrogation techniques amount to torture,-1,0.8506196428076079,0.9541283491367414
00009_2#00009_2_1,00009,00009_2,00009_2_1,Social networking sites are generally beneficial to our world.,Social networking sites have agreements that explicitly say that information can be used commercially in any way.,1,0.0032682963787974023,0.10971197741651749
00009_2#00009_2_2,00009,00009_2,00009_2_2,Social networking sites are generally beneficial to our world.,More targeted advertising is of greater value to the consumer.,1,0.00025984367222793434,0.5911873855370573
