pairid,argid,propid_to,propid_from,text_to,text_from,relation,ie_conf_any
00547_2#00547_2_10,00547,00547_2,00547_2_10,"The Dalai Lamas ""middle way"" is the best approach for Tibet.","The ""Middle Way"" is just a front for seeking Tibetan independence",-1,0.17617864025233218
00547_2#00547_2_11,00547,00547_2,00547_2_11,"The Dalai Lamas ""middle way"" is the best approach for Tibet.","""Middle Way"" in Tibet adopts Buddhist ""Middle Way"" (non-extremism)",1,0.0
00547_2#00547_2_12,00547,00547_2,00547_2_12,"The Dalai Lamas ""middle way"" is the best approach for Tibet.",China claims Tibet is autonomous; independendce is only other option,-1,0.0007211446340814596
00547_2#00547_2_13,00547,00547_2,00547_2_13,"The Dalai Lamas ""middle way"" is the best approach for Tibet.","Dalai Lama himself recognized that if by 2006 the ""Middle Way"" didn""t solve the situation than independence is the way",-1,0.5924552274396515
00547_2#00547_2_14,00547,00547_2,00547_2_14,"The Dalai Lamas ""middle way"" is the best approach for Tibet.",Tibetan cultural identity can survive only outside of Chinas modernization agenda,-1,9.988679913846787e-07
00547_2#00547_2_2,00547,00547_2,00547_2_2,"The Dalai Lamas ""middle way"" is the best approach for Tibet.",Dalai Lama believes independence is not the solution for Tibet,1,0.006394708175718668
00547_2#00547_2_3,00547,00547_2,00547_2_3,"The Dalai Lamas ""middle way"" is the best approach for Tibet.","The ""Middle Way"" is a practical political course of action",1,0.005888845042577454
00547_2#00547_2_4,00547,00547_2,00547_2_4,"The Dalai Lamas ""middle way"" is the best approach for Tibet.","The ""Middle Way"" bridges Chinese and Tibetan interests",1,0.0
00547_2#00547_2_5,00547,00547_2,00547_2_5,"The Dalai Lamas ""middle way"" is the best approach for Tibet.",Greater autonomy for Tibet is more realistic than independence.,1,9.94150047104838e-06
00547_2#00547_2_6,00547,00547_2,00547_2_6,"The Dalai Lamas ""middle way"" is the best approach for Tibet.",The Chinese government will not compromise and offer Tibet independence,-1,0.0
00547_2#00547_2_7,00547,00547_2,00547_2_7,"The Dalai Lamas ""middle way"" is the best approach for Tibet.",Tibetans in exile enjoy greater freedom currently than autonomy could offer,-1,0.0
00547_2#00547_2_8,00547,00547_2,00547_2_8,"The Dalai Lamas ""middle way"" is the best approach for Tibet.","The ""Middle Way"" is nothing different  from the current situation",-1,0.032973288021664604
00547_2#00547_2_9,00547,00547_2,00547_2_9,"The Dalai Lamas ""middle way"" is the best approach for Tibet.","If Tibetans accept autonomy, they will close the door to independence in the future.",-1,1.548542382433684e-05
00578_3#00578_3_1,00578,00578_3,00578_3_1,Global warming is chiefly caused by humans not by natural phenomenon.,Many scientists are pressured to deny global warming is human-caused:,1,0.0
00578_3#00578_3_10,00578,00578_3,00578_3_10,Global warming is chiefly caused by humans not by natural phenomenon.,Joseph Romm. Book Hell and High Water. 2007. pp 12.,1,0.0
00578_3#00578_3_15,00578,00578_3,00578_3_15,Global warming is chiefly caused by humans not by natural phenomenon.,Scientists have a financial interest in calling climate change a crisis.,-1,0.0
00578_3#00578_3_16,00578,00578_3,00578_3_16,Global warming is chiefly caused by humans not by natural phenomenon.,Sources citing a scientific consensus on the human-causes of global warming,1,0.0
00578_3#00578_3_19,00578,00578_3,00578_3_19,Global warming is chiefly caused by humans not by natural phenomenon.,"The IPCC report does not represent a scientific ""consensus"" that global warming is human caused",-1,0.0
00578_3#00578_3_2,00578,00578_3,00578_3_2,Global warming is chiefly caused by humans not by natural phenomenon.,"Wikipedia article: ""Scientific opinion on Global Climate Change""",1,0.0
00578_3#00578_3_21,00578,00578_3,00578_3_21,Global warming is chiefly caused by humans not by natural phenomenon.,2001 IPCC report concludes humans causing climate change,1,0.0
00578_3#00578_3_22,00578,00578_3,00578_3_22,Global warming is chiefly caused by humans not by natural phenomenon.,"There is no scientific ""consensus"" that humans are the chief cause of global warming",-1,0.0
00578_3#00578_3_24,00578,00578_3,00578_3_24,Global warming is chiefly caused by humans not by natural phenomenon.,Global warming has become an industry in itself.,-1,0.0
00578_3#00578_3_3,00578,00578_3,00578_3_3,Global warming is chiefly caused by humans not by natural phenomenon.,Vast majority of scientists believe climate change due to humans,1,6.73929281945477e-11
00578_3#00578_3_5,00578,00578_3,00578_3_5,Global warming is chiefly caused by humans not by natural phenomenon.,Scientific consensus does not prove climate change is human-caused,-1,0.0
00578_3#00578_3_6,00578,00578_3,00578_3_6,Global warming is chiefly caused by humans not by natural phenomenon.,There was a false scientific consensus in the 70s that global cooling was occurring.,-1,0.0
00603_5#00603_5_2,00603,00603_5,00603_5_2,Libertarianism is a sound political philosophy.,Modern economics calls for case-by-case government intervention,-1,2.4308223726849975e-07
00603_5#00603_5_3,00603,00603_5,00603_5_3,Libertarianism is a sound political philosophy.,Free-market economics is the ideal form of (non)governance,1,0.019016792008965444
00603_5#00603_5_4,00603,00603_5,00603_5_4,Libertarianism is a sound political philosophy.,Free market capitalism is a non-existent myth in modernity,-1,0.00512229507262184
00603_5#00603_5_5,00603,00603_5,00603_5_5,Libertarianism is a sound political philosophy.,Libertarians are rightly against trade blocs and for free trade.,1,0.015315923304029205
00603_5#00603_5_6,00603,00603_5,00603_5_6,Libertarianism is a sound political philosophy.,Free marketeers deduce from a false premise that markets explain humans,-1,0.003197506702252789
00603_5#00603_5_7,00603,00603_5,00603_5_7,Libertarianism is a sound political philosophy.,Free market economics fosters capitalist authoritarianism; undermines rights,-1,0.0
00603_5#00603_5_8,00603,00603_5,00603_5_8,Libertarianism is a sound political philosophy.,Government merely defends the interests of the rich against the poor,1,7.047949488918629e-09
00603_5#00603_5_9,00603,00603_5,00603_5_9,Libertarianism is a sound political philosophy.,Past fears of government programs bankrupting society proved wrong,-1,2.728647961632403e-09
00669_3#00669_3_1,00669,00669_3,00669_3_1,"A nuclear Iran is intolerable, justifying military action to prevent.",General statements that a nuclear Iran is intolerable,1,1.8268722255275902e-07
00669_3#00669_3_2,00669,00669_3,00669_3_2,"A nuclear Iran is intolerable, justifying military action to prevent.",Iran has pledged not to use WMD.,-1,8.826953341491785e-05
00669_3#00669_3_3,00669,00669_3,00669_3_3,"A nuclear Iran is intolerable, justifying military action to prevent.",Nuclear weapons in radical Iran are an intolerable risk,1,1.0053360189431972e-08
00669_3#00669_3_4,00669,00669_3,00669_3_4,"A nuclear Iran is intolerable, justifying military action to prevent.",Fearing a nuclear Iran strengthens the country,-1,1.9634230785808135e-08
00669_3#00669_3_5,00669,00669_3,00669_3_5,"A nuclear Iran is intolerable, justifying military action to prevent.",Iran can be deterred from using a nuclear weapon,-1,0.0008048332243369866
00669_3#00669_3_6,00669,00669_3,00669_3_6,"A nuclear Iran is intolerable, justifying military action to prevent.",A nuclear Iran is not generally a major security risk,-1,1.2861197814270812e-07
00712_1#00712_1_1,00712,00712_1,00712_1_1,Mercenaries and private military contractors are a good idea.,Mercenaries are more likely to act lawlessly and without accountability:,-1,0.5938221170200494
00712_1#00712_1_2,00712,00712_1,00712_1_2,Mercenaries and private military contractors are a good idea.,The possibility of mercenaries pulling out will always remain a risk:,-1,0.0
00712_1#00712_1_3,00712,00712_1,00712_1_3,Mercenaries and private military contractors are a good idea.,Mercenaries are well trained and responsible to national governments.,1,0.0007388113797216824
00712_1#00712_1_4,00712,00712_1,00712_1_4,Mercenaries and private military contractors are a good idea.,"Mercenaries are a flexible, efficient tool in war.",1,0.004672203978002687
00712_1#00712_1_5,00712,00712_1,00712_1_5,Mercenaries and private military contractors are a good idea.,There is no guarantee of the quality of contracted soldiers:,-1,0.0
00712_1#00712_1_6,00712,00712_1,00712_1_6,Mercenaries and private military contractors are a good idea.,This new responsible image is not entirely justified:,-1,0.0007430024019086208
00856_2#00856_2_1,00856,00856_2,00856_2_1,The War in Iraq was worth fighting.,Show of strength in Iraq helped denuclearize Libya,1,0.0
00856_2#00856_2_2,00856,00856_2,00856_2_2,The War in Iraq was worth fighting.,War in Iraq has benefited Iran in region,-1,0.0
00856_2#00856_2_3,00856,00856_2,00856_2_3,The War in Iraq was worth fighting.,War in Iraq has achieved no core US objectives.,-1,0.0004992951155461658
00856_2#00856_2_4,00856,00856_2,00856_2_4,The War in Iraq was worth fighting.,War in Iraq sent deterrent message to rogue regimes.,1,0.0
00856_2#00856_2_5,00856,00856_2,00856_2_5,The War in Iraq was worth fighting.,Iraq War caused rogue regimes to accelerate nuclear programs.,-1,6.85183808125195e-08
00926_1#00926_1_1,00926,00926_1,00926_1_1,Nations are justified in nationalizing failing banks in the 2009/2009 economic crisis.,Government can run banks more justly than greedy bankers.,1,1.763491279651957e-05
00926_1#00926_1_2,00926,00926_1,00926_1_2,Nations are justified in nationalizing failing banks in the 2009/2009 economic crisis.,Bad managers are ousted at failing banks; nationalization unnecessary,-1,0.00011214912226639305
00926_1#00926_1_3,00926,00926_1,00926_1_3,Nations are justified in nationalizing failing banks in the 2009/2009 economic crisis.,"Current managers are best in crisis; nationalization won""t help",-1,1.9816265712469315e-08
00926_1#00926_1_4,00926,00926_1,00926_1_4,Nations are justified in nationalizing failing banks in the 2009/2009 economic crisis.,Nationalization of banks allows replacement of bad management.,1,2.659902439415164e-10
00982_1#00982_1_1,00982,00982_1,00982_1_1,Mission to the Moon is preferred to Mars.,Mars will subject spacemen to high levels of radiation,1,0.0
00982_1#00982_1_2,00982,00982_1,00982_1_2,Mission to the Moon is preferred to Mars.,Going to Mars is extremely dangerous compared to the Moon.,1,0.0
00982_1#00982_1_3,00982,00982_1,00982_1_3,Mission to the Moon is preferred to Mars.,Rescue mission to Mars is not possible,1,0.0004590659147172016
00982_1#00982_1_4,00982,00982_1,00982_1_4,Mission to the Moon is preferred to Mars.,Artificial gravity can overcome zero-gravity on Mars mission.,-1,1.222955963805615e-05
00982_1#00982_1_5,00982,00982_1,00982_1_5,Mission to the Moon is preferred to Mars.,Mars is more hospitable than the Moon in many ways,-1,0.0011621204358647252
00982_1#00982_1_6,00982,00982_1,00982_1_6,Mission to the Moon is preferred to Mars.,Solar radiation is no major danger to Mars astronauts.,-1,0.0003392661045219955
00982_1#00982_1_7,00982,00982_1,00982_1_7,Mission to the Moon is preferred to Mars.,"Mars can be terraformed, while Moon cannot",-1,0.0
00982_1#00982_1_8,00982,00982_1,00982_1_8,Mission to the Moon is preferred to Mars.,Entry into the Martian atmosphere is hazardous,1,0.0001861426468382765
00982_1#00982_1_9,00982,00982_1,00982_1_9,Mission to the Moon is preferred to Mars.,Long weightless travel to Mars would weaken Astronauts,1,0.0002871564283525001
00983_5#00983_5_1,00983,00983_5,00983_5_1,Thorium based nuclear energy is good.,LFTR reactors can be designed to be self-regulating.,1,0.0009005454699004377
00983_5#00983_5_2,00983,00983_5,00983_5_2,Thorium based nuclear energy is good.,LFTR produces much less nuclear waste than PWR.,1,4.20740755966764e-10
00983_5#00983_5_4,00983,00983_5,00983_5_4,Thorium based nuclear energy is good.,Reprocessing Uranium-233 to make Thorium is challenging.,-1,0.0
00983_5#00983_5_5,00983,00983_5,00983_5_5,Thorium based nuclear energy is good.,LFTR reactor operates at high temperatures.,1,0.0
00983_5#00983_5_6,00983,00983_5,00983_5_6,Thorium based nuclear energy is good.,Molten fluoride salts are highly reactive.,-1,0.050546101627588616
00983_5#00983_5_7,00983,00983_5,00983_5_7,Thorium based nuclear energy is good.,LFTR reactor can be operated continuously.,1,0.0
00983_5#00983_5_8,00983,00983_5,00983_5_8,Thorium based nuclear energy is good.,LFTR reactor operates at low pressures.,1,0.0
00983_5#00983_5_9,00983,00983_5,00983_5_9,Thorium based nuclear energy is good.,Nuclear waste produced by LFTR is relatively short-lived.,1,0.02080981698117733
01012_19#01012_19_1,01012,01012_19,01012_19_1,Wikipedia is a reliable and socially beneficial resource.,"Editors form into ""gangs"" to impose their views on opposite minded contributors.",-1,9.395709587793608e-05
01012_19#01012_19_2,01012,01012_19,01012_19_2,Wikipedia is a reliable and socially beneficial resource.,Wikipedia cannot succeed with information as Linux succeeded with software,-1,0.008169757448966235
01012_19#01012_19_3,01012,01012_19,01012_19_3,Wikipedia is a reliable and socially beneficial resource.,"Collective knowledge on Wikipedia is superior to individual, small-group knowledge.",1,0.015097975444672845
01012_19#01012_19_4,01012,01012_19,01012_19_4,Wikipedia is a reliable and socially beneficial resource.,Wikipedias consensus model results in the loudest voices dominating,-1,2.5735047169666664e-09
01094_3#01094_3_1,01094,01094_3,01094_3_1,It is justifiable for protesters and activists to break the law for the sake of their cause.,Violent civil disobedience can never be justified.,-1,0.0
01094_3#01094_3_2,01094,01094_3,01094_3_2,It is justifiable for protesters and activists to break the law for the sake of their cause.,Violence can be a means to bringing attention to a cause.,1,9.93007957147617e-05
01094_3#01094_3_3,01094,01094_3,01094_3_3,It is justifiable for protesters and activists to break the law for the sake of their cause.,Conflict with authority gives power and exposure to protests,1,1.4800972335035639e-06
01094_5#01094_5_1,01094,01094_5,01094_5_1,It is justifiable for protesters and activists to break the law for the sake of their cause.,Even democracies do not necessarily provide sufficient voice.,1,4.1431706175450566e-07
01094_5#01094_5_2,01094,01094_5,01094_5_2,It is justifiable for protesters and activists to break the law for the sake of their cause.,Civil disobedience is unjust in democracies; sufficient means for change exist.,-1,0.0005300621330809137
01094_5#01094_5_3,01094,01094_5,01094_5_3,It is justifiable for protesters and activists to break the law for the sake of their cause.,"Given a choice, anarchy is to be preferred to despotism.",1,9.582663161923446e-06
01094_5#01094_5_4,01094,01094_5,01094_5_4,It is justifiable for protesters and activists to break the law for the sake of their cause.,Even just causes do not justify breaking the law.,-1,6.011984544389237e-06
01101_6#01101_6_1,01101,01101_6,01101_6_1,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,"US cities are adopting Kyoto, the federal government should too",1,0.0
01101_6#01101_6_10,01101,01101_6,01101_6_10,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,The Kyoto protocol would harm the American economy,-1,2.498715208915984e-06
01101_6#01101_6_2,01101,01101_6,01101_6_2,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,US has a responsibility to lead on climate change and in Kyoto,1,3.8423700673527846e-05
01101_6#01101_6_3,01101,01101_6,01101_6_3,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,It is unimportant for the US to join Kyoto now,-1,0.6687813002950256
01101_6#01101_6_4,01101,01101_6,01101_6_4,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,The US is (wrongly) the only industrial economy to oppose Kyoto,1,0.00032438661169875986
01101_6#01101_6_5,01101,01101_6,01101_6_5,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Opposition to Kyoto strains US image in the world,1,0.0
01101_6#01101_6_6,01101,01101_6,01101_6_6,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,Kyoto Protocol is too controversial in the US to be ratified,-1,0.013997454777985387
01101_6#01101_6_7,01101,01101_6,01101_6_7,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,US population growth increased energy demand; Kyoto is impractical.,-1,0.6843235233455056
01101_6#01101_6_8,01101,01101_6,01101_6_8,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,US is just a scapegoat for the failed Kyoto Protocol,-1,0.010317047503968505
01101_6#01101_6_9,01101,01101_6,01101_6_9,The Kyoto Protocol is a good treaty to combat global warming. It is a model for future treaties.,The Kyoto protocol cannot significantly cut emissions without the US.,1,1.101196334528741e-06
01156_3#01156_3_1,01156,01156_3,01156_3_1,Video surveillance in public places is justifiable.,Crime cameras help catch criminals and get them off the street,1,0.0005210727428476569
01156_3#01156_3_2,01156,01156_3,01156_3_2,Video surveillance in public places is justifiable.,"Crime cameras offer conclusive, unbiased evidence in court.",1,0.04736916921979866
01156_3#01156_3_3,01156,01156_3,01156_3_3,Video surveillance in public places is justifiable.,Crime camera evidence is very rarely used in court cases.,-1,0.00012021894348793929
01250_8#01250_8_1,01250,01250_8,01250_8_1,The assassination of a dictator can be justified.,Chavez should not be assassinated as he poses no real military threat.,-1,1.1424216187524809e-05
01250_8#01250_8_2,01250,01250_8,01250_8_2,The assassination of a dictator can be justified.,"If Chavez should be assassinated, what about President Bush (an international threat)",-1,7.541982269551953e-05
01250_8#01250_8_3,01250,01250_8,01250_8_3,The assassination of a dictator can be justified.,The US would be justified in assassinating Hugo Chavez,1,0.0
01250_8#01250_8_4,01250,01250_8,01250_8_4,The assassination of a dictator can be justified.,Assassinating Chavez would be based only on US hegemony.,-1,0.0
00007_13#00007_13_1,00007,00007_13,00007_13_1,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Sleep deprivation is a form of torture.,-1,0.0
00007_13#00007_13_2,00007,00007_13,00007_13_2,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Sleep deprivation is wholly up to the subject.,1,0.0
00007_13#00007_13_3,00007,00007_13,00007_13_3,"The ""enhanced interrogation techniques"" of the Bush administration were justified.","If not torture, sleep deprivation is cruel and inhumane.",-1,0.0
00193_2#00193_2_1,00193,00193_2,00193_2_1,"Cellulosic ethanol is a good ""clean"" energy source and solution to global warming.","Cellulosic ethanol increases crop values, lowers need for subsidies",1,0.00011397749710374591
00193_2#00193_2_2,00193,00193_2,00193_2_2,"Cellulosic ethanol is a good ""clean"" energy source and solution to global warming.",Cellulosic ethanol can be grown on otherwise unused land,1,4.741375121978418e-06
00193_2#00193_2_3,00193,00193_2,00193_2_3,"Cellulosic ethanol is a good ""clean"" energy source and solution to global warming.","Cellulosic ethanol does not require same intensive farming, labor, water.",1,0.00021588794789305731
00193_2#00193_2_4,00193,00193_2,00193_2_4,"Cellulosic ethanol is a good ""clean"" energy source and solution to global warming.",Cellulosic ethanol production does not compete with food production,1,0.00010304915494408356
00193_2#00193_2_5,00193,00193_2,00193_2_5,"Cellulosic ethanol is a good ""clean"" energy source and solution to global warming.","Cellulosic ethanol land-use harms forests, environment, climate",-1,2.6862886968056013e-07
00193_2#00193_2_6,00193,00193_2,00193_2_6,"Cellulosic ethanol is a good ""clean"" energy source and solution to global warming.",There is not enough land too grow sufficient cellulosic ethanol,-1,0.0
00193_2#00193_2_7,00193,00193_2,00193_2_7,"Cellulosic ethanol is a good ""clean"" energy source and solution to global warming.",Cellulosic ethanol packs three-times the energy as corn ethanol.,1,0.0
00193_2#00193_2_8,00193,00193_2,00193_2_8,"Cellulosic ethanol is a good ""clean"" energy source and solution to global warming.",Waste products can be recycled to produce cellulosic ethanol,1,3.5527908589370383e-07
00562_1#00562_1_1,00562,00562_1,00562_1_1,"""Graduated response"" policies for unlawful P2P file sharing are justified.",Graduated response unnecessary; antipiracy laws already exist,-1,0.0
00562_1#00562_1_2,00562,00562_1,00562_1_2,"""Graduated response"" policies for unlawful P2P file sharing are justified.",Governments will use ISPs to catch more than pirates,-1,0.0
00562_1#00562_1_3,00562,00562_1,00562_1_3,"""Graduated response"" policies for unlawful P2P file sharing are justified.",Graduated response is best compromise b/w stakeholders,1,0.0
00562_1#00562_1_4,00562,00562_1,00562_1_4,"""Graduated response"" policies for unlawful P2P file sharing are justified.",Not enforcing copyrights incentivizes piracy innovations,1,0.0
00562_1#00562_1_5,00562,00562_1,00562_1_5,"""Graduated response"" policies for unlawful P2P file sharing are justified.",Graduated response is better than not enforcing copyrights,1,0.0
00562_1#00562_1_6,00562,00562_1,00562_1_6,"""Graduated response"" policies for unlawful P2P file sharing are justified.",Copyrights on creative works must be enforced,1,0.0035756276889643
00568_3#00568_3_1,00568,00568_3,00568_3_1,Israel was justified in seizing the flotilla.,Israel could have legally sunk Gaza flotilla for breaking blockade,1,0.0
00568_3#00568_3_10,00568,00568_3,00568_3_10,Israel was justified in seizing the flotilla.,Israeli use of force on flotilla was disproportionate.,-1,2.5420782402972217e-07
00568_3#00568_3_11,00568,00568_3,00568_3_11,Israel was justified in seizing the flotilla.,Israeli raid in international waters violates i-law,-1,1.77792122865846e-08
00568_3#00568_3_2,00568,00568_3,00568_3_2,Israel was justified in seizing the flotilla.,Israeli flotilla raid was act of self-defense,1,0.00022585859719114834
00568_3#00568_3_3,00568,00568_3,00568_3_3,Israel was justified in seizing the flotilla.,General statements against Israels Gaza flotilla raid,-1,0.0
00568_3#00568_3_4,00568,00568_3,00568_3_4,Israel was justified in seizing the flotilla.,"Cease-fire invalidates blockade-justification of ""war"" w/ Hamas",-1,0.0
00568_3#00568_3_5,00568,00568_3,00568_3_5,Israel was justified in seizing the flotilla.,"Israel issued warning to Gaza flotilla, which they ignored",1,4.7149830903294017e-05
00568_3#00568_3_6,00568,00568_3,00568_3_6,Israel was justified in seizing the flotilla.,Illegal to seize peaceful supplies during conflict,-1,0.0
00568_3#00568_3_7,00568,00568_3,00568_3_7,Israel was justified in seizing the flotilla.,"Israeli raid on flotilla was aggressive; can""t be called self-defense",-1,2.1874267679838422e-07
00568_3#00568_3_8,00568,00568_3,00568_3_8,Israel was justified in seizing the flotilla.,"In conflict with Hamas, raid in international waters was legal",1,0.0
00568_3#00568_3_9,00568,00568_3,00568_3_9,Israel was justified in seizing the flotilla.,"Intent of Gaza flotilla was not humanitarian, but provoking Israel",1,2.347168314621714e-07
00596_7#00596_7_1,00596,00596_7,00596_7_1,Multiculturalism is a better social model than assimilation.,Multiculturalism improves the public sense of free speech.,1,3.411945979131555e-05
00596_7#00596_7_10,00596,00596_7,00596_7_10,Multiculturalism is a better social model than assimilation.,It is misleading to claim multiculturalism sacrifices individual right to group rights,1,2.7047228888828727e-06
00596_7#00596_7_11,00596,00596_7,00596_7_11,Multiculturalism is a better social model than assimilation.,"Bias towards the ""civilized"" west.",1,0.0
00596_7#00596_7_12,00596,00596_7,00596_7_12,Multiculturalism is a better social model than assimilation.,Multiculturalism sacrifices individual rights to group rights,-1,1.2032672124732914e-06
00596_7#00596_7_2,00596,00596_7,00596_7_2,Multiculturalism is a better social model than assimilation.,Multiculturalism and accommodation jeopardizes womens rights,-1,2.1158233623408327e-07
00596_7#00596_7_3,00596,00596_7,00596_7_3,Multiculturalism is a better social model than assimilation.,Protecting group rights is often necessary in protecting individual rights,1,0.0
00596_7#00596_7_4,00596,00596_7,00596_7_4,Multiculturalism is a better social model than assimilation.,Multiculturalism is democratic,1,0.012581562990959248
00596_7#00596_7_5,00596,00596_7,00596_7_5,Multiculturalism is a better social model than assimilation.,Assimilating cultures is unrelated to race and racism,-1,0.03297522538619763
00596_7#00596_7_6,00596,00596_7,00596_7_6,Multiculturalism is a better social model than assimilation.,Multiculturalism does not help empower minority groups,-1,2.725578824807654e-06
00596_7#00596_7_7,00596,00596_7,00596_7_7,Multiculturalism is a better social model than assimilation.,Multiculturalism politicizes identity in ethnic and religious terms,-1,4.031627801778661e-05
00596_7#00596_7_8,00596,00596_7,00596_7_8,Multiculturalism is a better social model than assimilation.,"Recognition of indigenous, ethnic, and otherwise different (religious, linguistic) groups is necessary to combat the assimilationist hierarchy of cultures",1,0.0
00596_7#00596_7_9,00596,00596_7,00596_7_9,Multiculturalism is a better social model than assimilation.,Concerns over womens rights cannot be blamed on multiculturalism,1,7.398968715273808e-07
00632_5#00632_5_1,00632,00632_5,00632_5_1,Open primaries are a good idea.,Open primaries are similar to how local leaders are elected,1,0.002378868640279245
00632_5#00632_5_2,00632,00632_5,00632_5_2,Open primaries are a good idea.,Open primaries reduce distinctive ideological choices,-1,0.0006521600675875115
00632_5#00632_5_3,00632,00632_5,00632_5_3,Open primaries are a good idea.,Open primaries advance two most-favored candidates to general,1,0.0
00632_5#00632_5_4,00632,00632_5,00632_5_4,Open primaries are a good idea.,Open primaries favor voter wishes over party establishments,1,0.0007653287285397381
00632_5#00632_5_5,00632,00632_5,00632_5_5,Open primaries are a good idea.,Open primaries allow nominations inconsistent with party member views,-1,0.02834752344667882
00632_5#00632_5_6,00632,00632_5,00632_5_6,Open primaries are a good idea.,Open primaries push third parties out of general (reduce choice),-1,0.0
00632_5#00632_5_7,00632,00632_5,00632_5_7,Open primaries are a good idea.,"Open primaries produce competitive, substantive general elections",1,0.00015092388656120088
00632_5#00632_5_8,00632,00632_5,00632_5_8,Open primaries are a good idea.,Open primaries foster nuance and choice within a party.,1,0.0
00648_3#00648_3_1,00648,00648_3,00648_3_1,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,$700b bailout must be implemented immediately to avoid crisis,1,0.0
00648_3#00648_3_2,00648,00648_3,00648_3_2,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,$700 it is more important to pass a plan than for it to be perfect.,1,0.005995708014464422
00648_3#00648_3_3,00648,00648_3,00648_3_3,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Advocates are fear-mongering to ram through $700b plan,-1,9.554940831780537e-06
00648_3#00648_3_4,00648,00648_3,00648_3_4,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,A good solution to the US economic crisis cannot be rushed,-1,0.0
00648_9#00648_9_1,00648,00648_9,00648_9_1,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Taxpayer opposition to $700b plan is ill-informed; ignore it,1,0.0
00648_9#00648_9_2,00648,00648_9,00648_9_2,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Leadership crisis is only worsened by not passing $700b plan,1,2.534745512376965e-07
00648_9#00648_9_3,00648,00648_9,00648_9_3,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,$700b bailout is unjustified over majority taxpayer opposition,-1,0.05612539276934498
00648_9#00648_9_4,00648,00648_9,00648_9_4,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Government has no credibility to solve economic crisis,-1,1.5035366391772056e-05
00648_9#00648_9_5,00648,00648_9,00648_9_5,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Politicians should not put elections over needed bailout,1,0.0
00696_5#00696_5_1,00696,00696_5,00696_5_1,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A carbon tax sends a serious and important message about the will to fight global warming.,-1,1.4192736821647474e-06
00696_5#00696_5_10,00696,00696_5,00696_5_10,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A carbon tax can be implemented immediately.,-1,2.4783188276635756e-06
00696_5#00696_5_11,00696,00696_5,00696_5_11,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A cap-and-trade system better encourages companies to cut their carbon emissions.,1,2.6892114453646006e-06
00696_5#00696_5_12,00696,00696_5,00696_5_12,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"Cap-and-trade system don""t ensure local area carbon emissions are reduced.",-1,0.00010699320793313033
00696_5#00696_5_13,00696,00696_5,00696_5_13,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"The necessity of a cap-and-trade system depends on the case being made that the environment is seriously, catastrophically threatened.",-1,0.000343639717438373
00696_5#00696_5_15,00696,00696_5,00696_5_15,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A carbon tax provides better incentives for green innovation.,-1,9.018055970041304e-07
00696_5#00696_5_16,00696,00696_5,00696_5_16,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"A carbon tax obligates participation, whereas participating in a cap-and-trade system is largely optional:",-1,0.00147942476621652
00696_5#00696_5_17,00696,00696_5,00696_5_17,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A carbon tax would add a clear cost to polluting and create a market incentive to pollute less.,-1,0.0
00696_5#00696_5_2,00696,00696_5,00696_5_2,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,Carbon trading schemes rely on bureaucratic processes to actually reduce emissions.,-1,0.0
00696_5#00696_5_4,00696,00696_5,00696_5_4,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,A carbon tax can be easily adjusted over time to achieve desired emissions results.,-1,4.520413775114873e-07
00696_5#00696_5_5,00696,00696_5,00696_5_5,A cap-and-trade system is preferable to a carbon tax in reducing carbon emissions.,"A cap-and-trade system is certain to reduce emissions, which is important in context of the global warming crisis:",1,0.6492370234814868
