pairid,argid,propid_to,propid_from,text_to,text_from,relation,ie_conf_arg0,ie_conf_arg1,ie_conf_arg2,ie_conf_arg2p,ie_conf_any
00726_6#00726_6_14,00726,00726_6,00726_6_14,The US government should fund embryonic stem cell research.,"Nancy Gibbs, ""Stem Cells: the Hope and the Hype"" Time 7/30/06",-1,0.0,0.0,0.0,0.0,0.0
00726_6#00726_6_15,00726,00726_6,00726_6_15,The US government should fund embryonic stem cell research.,"Adult stem cells taken from patients themselves avoids immune rejection better than embryonic stem cells, and that this could be a more cost effective approach to treatment:",-1,4.079002483034834e-07,1.3085720558171512e-08,8.926765470739679e-07,8.926765470739679e-07,8.926765470739679e-07
00726_6#00726_6_2,00726,00726_6,00726_6_2,The US government should fund embryonic stem cell research.,Adult stem cells can be better controlled and targeted to create desired tissues:,-1,0.0,0.0,0.0,0.0,0.0
00726_6#00726_6_3,00726,00726_6,00726_6_3,The US government should fund embryonic stem cell research.,"World of Stem Cells ""Advantages and Disadvantages of Adult Stem Cells over Embryonic Stem Cells""",-1,0.0,0.0,0.0,0.0,0.0
00726_6#00726_6_4,00726,00726_6,00726_6_4,The US government should fund embryonic stem cell research.,"Chistopher Thomas Scotts ""Stem Cell Now"" (2006)",-1,0.0,0.0,0.0,0.0,0.0
00726_6#00726_6_5,00726,00726_6,00726_6_5,The US government should fund embryonic stem cell research.,Both adult stem cell and embryonic stem cell research should be pursued equally aggressively because they both have unique characteristics and possible applications:,1,5.0391277191367284e-05,2.553526479366224e-06,6.317219273879252e-05,6.317219273879252e-05,6.317219273879252e-05
00726_6#00726_6_6,00726,00726_6,00726_6_6,The US government should fund embryonic stem cell research.,United States Conference of Catholic Bishops (2001),-1,0.0,0.0,0.0,0.0,0.0
00726_6#00726_6_7,00726,00726_6,00726_6_7,The US government should fund embryonic stem cell research.,"Because adult stem cells are already in clinical use, they may be more practical than embryonic stem cells to move forward with:World of Stem Cells ""Advantages and Disadvantages of Adult Stem Cells over Embryonic Stem Cells""",-1,3.495313634922469e-06,4.1567786083894483e-07,8.896302472055452e-05,8.896302472055452e-05,8.896302472055452e-05
00726_6#00726_6_9,00726,00726_6,00726_6_9,The US government should fund embryonic stem cell research.,"The Orlic and NIH 2001 tests were not repeatable, reducing the credibility of the claim that certain adult stem cell can help repair heart tissue:",1,1.1779162343634178e-06,1.1322100084640263e-06,1.0915220353879755e-05,1.0915220353879755e-05,1.0915220353879755e-05
00738_2#00738_2_1,00738,00738_2,00738_2_1,"""Date rape"" should be a lower offense than rape.",Judges and juries failure to see date rape as being just as bad as stranger-rape is dangerous and needs to be challenged,-1,0.0025975631077214353,2.5816627275806606e-05,8.152470783744349e-05,8.152470783744349e-05,0.0025975631077214353
00738_2#00738_2_2,00738,00738_2,00738_2_2,"""Date rape"" should be a lower offense than rape.","The punishment for rape exceeds the crime of date rape, making jurors unlikely to punish date-rapers at all.",1,0.0,0.0,0.0,0.0,0.0
00738_2#00738_2_3,00738,00738_2,00738_2_3,"""Date rape"" should be a lower offense than rape.",Date rape is not as serious as rape from a stranger:,1,1.604666678578719e-05,0.03145656975169188,0.04903471022133566,0.04903471022133566,0.04903471022133566
00738_2#00738_2_4,00738,00738_2,00738_2_4,"""Date rape"" should be a lower offense than rape.","Rape is rape, regardless of whether the couple know each other, or have had sex before.",-1,0.0016669423488674343,0.0023084776940976467,0.11174011825023601,0.11174011825023601,0.11174011825023601
00781_4#00781_4_1,00781,00781_4,00781_4_1,Terms should be limited in US Congress.,Lobbyists equally influence term-limited politicians.,-1,3.963185866383668e-09,1.558383467152064e-07,2.7712234236459676e-07,2.7712234236459676e-07,2.7712234236459676e-07
00781_4#00781_4_2,00781,00781_4,00781_4_2,Terms should be limited in US Congress.,Term-limits check special interest influence,1,0.00019987088614881464,1.153277215518729e-05,2.6716185483944454e-06,2.6716185483944454e-06,0.00019987088614881464
00781_4#00781_4_3,00781,00781_4,00781_4_3,Terms should be limited in US Congress.,OK for politicians to listen to interest groups.,-1,2.254877113043546e-09,3.7744837414128155e-09,5.426581598088477e-09,5.426581598088477e-09,5.426581598088477e-09
00781_4#00781_4_4,00781,00781_4,00781_4_4,Terms should be limited in US Congress.,Lobbyists fight term limits for a reason.,1,0.0,0.0,0.0,0.0,0.0
00781_4#00781_4_5,00781,00781_4,00781_4_5,Terms should be limited in US Congress.,Informed voters curb special interests better than term limits,-1,2.391172658829763e-07,3.532628934159394e-07,3.5236688581573365e-07,3.5236688581573365e-07,3.532628934159394e-07
00781_4#00781_4_6,00781,00781_4,00781_4_6,Terms should be limited in US Congress.,Term-limits are the only way to change Washington.,1,1.448241575884615e-06,6.872505465899429e-07,1.111428209472701e-06,1.111428209472701e-06,1.448241575884615e-06
00799_6#00799_6_1,00799,00799_6,00799_6_1,The No Child Left Behind education law in America is a good policy and worth continuing.,School choice in NCLB will make bad schools worse.,-1,2.9944454412112985e-07,2.719717015856837e-07,4.6117107667095833e-07,4.6117107667095833e-07,4.6117107667095833e-07
00799_6#00799_6_2,00799,00799_6,00799_6_2,The No Child Left Behind education law in America is a good policy and worth continuing.,"Good not ""failing"" students students will leave under NCLB.",-1,0.00013517646652991464,4.183228595019602e-06,0.00017443797931609417,0.00017443797931609417,0.00017443797931609417
00799_6#00799_6_3,00799,00799_6,00799_6_3,The No Child Left Behind education law in America is a good policy and worth continuing.,"""Failing"" schools will not accept ""failing"" students.",-1,2.7504079645632975e-08,1.1256799019097648e-09,7.01267758575517e-10,7.01267758575517e-10,2.7504079645632975e-08
00799_6#00799_6_4,00799,00799_6,00799_6_4,The No Child Left Behind education law in America is a good policy and worth continuing.,No Child Left Behind encourages parents to engage more actively,1,0.002039373789658983,0.04751824728177504,0.01592824104145851,0.01592824104145851,0.04751824728177504
00799_6#00799_6_5,00799,00799_6,00799_6_5,The No Child Left Behind education law in America is a good policy and worth continuing.,No Child Left Behind offers choice to leave failing schools,1,0.002039373789658983,0.04751824728177504,0.01592824104145851,0.01592824104145851,0.04751824728177504
00876_5#00876_5_1,00876,00876_5,00876_5_1,The developed world should focus on trade instead of aid for developing world.,International aid creates harmful long-term dependencies.,1,4.8558524878507944e-11,1.7330866978536427e-11,5.684358608799254e-10,5.684358608799254e-10,5.684358608799254e-10
00876_5#00876_5_2,00876,00876_5,00876_5_2,The developed world should focus on trade instead of aid for developing world.,Not all countries are able to trade successfully.,-1,0.0,0.0,0.0,0.0,0.0
00876_5#00876_5_3,00876,00876_5,00876_5_3,The developed world should focus on trade instead of aid for developing world.,Trade is a long-term basis for international co-operation.,1,4.5712878273350537e-08,6.231184851521302e-08,9.86042386504391e-07,9.86042386504391e-07,9.86042386504391e-07
00895_5#00895_5_1,00895,00895_5,00895_5_1,Schools do have the right to search students lockers.,Schools searching lockers is an invasion of privacy.,-1,0.0029428133601545887,0.007535096498867727,0.0023961470488370966,0.0023961470488370966,0.007535096498867727
00895_5#00895_5_2,00895,00895_5,00895_5_2,Schools do have the right to search students lockers.,"Lockers are school property and, therefore, subject to any school searches:",1,3.676938815824032e-05,4.4465732866850055e-06,7.129563120257242e-06,7.129563120257242e-06,3.676938815824032e-05
00895_5#00895_5_3,00895,00895_5,00895_5_3,Schools do have the right to search students lockers.,Schools are responsible for student activities so must be able to search lockers.,1,0.0010928460618030188,0.38166286956450374,0.003162596151606624,0.003162596151606624,0.38166286956450374
00953_4#00953_4_1,00953,00953_4,00953_4_1,Government should adopt emissions trading to combat global warming.,Emissions trading has govt not markets set cap,-1,1.0522065557703578e-08,9.191384813635927e-10,9.015920066197452e-08,9.015920066197452e-08,9.015920066197452e-08
00953_4#00953_4_2,00953,00953_4,00953_4_2,Government should adopt emissions trading to combat global warming.,Carbon trading encourages efficient emissions reductions,1,1.2328690350040685e-09,9.22830795947618e-11,1.1745163520938259e-07,1.1745163520938259e-07,1.1745163520938259e-07
00953_4#00953_4_3,00953,00953_4,00953_4_3,Government should adopt emissions trading to combat global warming.,Emissions trading reduces economic costs of greenhouse gas emissions.,1,1.3763113794024213e-09,1.8028532217390904e-10,8.809538502993784e-10,8.809538502993784e-10,1.3763113794024213e-09
00953_4#00953_4_4,00953,00953_4,00953_4_4,Government should adopt emissions trading to combat global warming.,Emissions trading increases government costs and lowers revenue,-1,4.1888489690116285e-11,2.1727029972885637e-11,2.5766656171271625e-08,2.5766656171271625e-08,2.5766656171271625e-08
00953_4#00953_4_5,00953,00953_4,00953_4_5,Government should adopt emissions trading to combat global warming.,Companies will pollute excessively before starting carbon trading.,-1,6.0511823956113625e-06,7.593950915253917e-05,7.1938788795608315e-06,7.1938788795608315e-06,7.593950915253917e-05
00953_4#00953_4_6,00953,00953_4,00953_4_6,Government should adopt emissions trading to combat global warming.,Cap-and-trade systems are flexible in the global economy,1,4.95169828421957e-05,5.064584680755401e-07,5.09229140164134e-07,5.09229140164134e-07,4.95169828421957e-05
00953_4#00953_4_7,00953,00953_4,00953_4_7,Government should adopt emissions trading to combat global warming.,Complicated cap-and-trade system requires costly administration.,-1,1.329708897020015e-07,1.7732274134741318e-09,1.559242058119086e-08,1.559242058119086e-08,1.329708897020015e-07
00953_4#00953_4_8,00953,00953_4,00953_4_8,Government should adopt emissions trading to combat global warming.,Economic costs of cap-and-trade outweigh environmental gain,-1,0.0,0.0,0.0,0.0,0.0
00953_4#00953_4_9,00953,00953_4,00953_4_9,Government should adopt emissions trading to combat global warming.,Cap-and-trade schemes cause job loss,-1,0.001008894125763097,1.4322252745714838e-06,0.003251394163482503,0.003251394163482503,0.003251394163482503
00953_5#00953_5_1,00953,00953_5,00953_5_1,Government should adopt emissions trading to combat global warming.,Cap-and-trade systems create emissions caps arbitrarily,-1,2.647869256880546e-05,6.279659140900828e-07,4.336208506552812e-06,4.336208506552812e-06,2.647869256880546e-05
00953_5#00953_5_2,00953,00953_5,00953_5_2,Government should adopt emissions trading to combat global warming.,Cap-and-trade systems ensure emissions reductions to the set cap,1,0.0,0.0,0.0,0.0,0.0
00953_5#00953_5_3,00953,00953_5,00953_5_3,Government should adopt emissions trading to combat global warming.,Emissions trading encourages investments in best technologies,1,5.9185172611359015e-09,2.821244800812312e-10,1.902138465951073e-08,1.902138465951073e-08,1.902138465951073e-08
00953_5#00953_5_4,00953,00953_5,00953_5_4,Government should adopt emissions trading to combat global warming.,Carbon tax can be implemented much faster than cap-and-trade,-1,0.0,0.0,0.0,0.0,0.0
00953_5#00953_5_5,00953,00953_5,00953_5_5,Government should adopt emissions trading to combat global warming.,Emissions trading wrongly allows companies to buy right to pollute,-1,1.068606796634352e-07,2.490393383814969e-08,2.8520183615723475e-08,2.8520183615723475e-08,1.068606796634352e-07
00953_5#00953_5_6,00953,00953_5,00953_5_6,Government should adopt emissions trading to combat global warming.,"Emissions trading doesn""t ensure reductions in local emissions",-1,2.4905272608261034e-10,2.1283742478880987e-10,1.50114024489318e-08,1.50114024489318e-08,1.50114024489318e-08
00953_5#00953_5_7,00953,00953_5,00953_5_7,Government should adopt emissions trading to combat global warming.,Carbon trading incentivizes companies to cut emissions:,1,0.0004291345846382158,0.004734135652656241,4.140295968768635e-05,4.140295968768635e-05,0.004734135652656241
00989_6#00989_6_1,00989,00989_6,00989_6_1,Colleges should ban fraternities.,"Banning fraternities won""t end masculine domineering.",-1,2.2879974630959927e-07,1.223104991905487e-09,1.0598867947621453e-09,1.0598867947621453e-09,2.2879974630959927e-07
00989_6#00989_6_2,00989,00989_6,00989_6_2,Colleges should ban fraternities.,Most fraternities are openly hostile toward women.,1,0.0,0.0,0.0,0.0,0.0
00989_6#00989_6_3,00989,00989_6,00989_6_3,Colleges should ban fraternities.,Sexist fraternity slogans are protected by free speech,-1,1.3869211166459692e-09,1.8733965600890374e-08,9.24331529707977e-09,9.24331529707977e-09,1.8733965600890374e-08
00989_6#00989_6_4,00989,00989_6,00989_6_4,Colleges should ban fraternities.,Fraternities are unfairly stereotyped by opponents.,-1,4.966291971532482e-06,1.4188097594905927e-07,1.2118262557120822e-06,1.2118262557120822e-06,4.966291971532482e-06
01003_11#01003_11_1,01003,01003_11,01003_11_1,Parents should be allowed to select the gender of their offspring.,Parents have the reproductive right to select the gender of their children.,1,0.0029796107332936755,0.0066783023594535335,0.003867935180400924,0.003867935180400924,0.0066783023594535335
01003_11#01003_11_2,01003,01003_11,01003_11_2,Parents should be allowed to select the gender of their offspring.,It is good for parents to be happy with the gender of a child.,1,6.811885441904199e-06,7.92453483275473e-05,0.0004684728483191632,0.0004684728483191632,0.0004684728483191632
01003_11#01003_11_3,01003,01003_11,01003_11_3,Parents should be allowed to select the gender of their offspring.,Sexual selection will reinforce gender stereotypes.,-1,4.083899411793082e-09,4.4586350398190775e-09,3.1076194585755466e-08,3.1076194585755466e-08,3.1076194585755466e-08
01003_11#01003_11_4,01003,01003_11,01003_11_4,Parents should be allowed to select the gender of their offspring.,Parents are free to select the gender of children and shape their family,1,0.001052989978832272,0.003139096545429278,0.7941308065746024,0.7941308065746024,0.7941308065746024
01003_11#01003_11_5,01003,01003_11,01003_11_5,Parents should be allowed to select the gender of their offspring.,Freedom of choice should not be allowed when it harms children.,-1,2.260695625199172e-08,1.2208091110858075e-06,3.332267354721857e-07,3.332267354721857e-07,1.2208091110858075e-06
01069_4#01069_4_1,01069,01069_4,01069_4_1,Governments should create a DNA database of all citizens.,"One thing for authority, others for civilians.",-1,0.0,0.0,0.0,0.0,0.0
01069_4#01069_4_2,01069,01069_4,01069_4_2,Governments should create a DNA database of all citizens.,DNA databases could expose personal information in unanticipated ways.,-1,1.7602712849134526e-07,1.2396490586415542e-06,1.6248588812051373e-06,1.6248588812051373e-06,1.6248588812051373e-06
01168_4#01168_4_1,01168,01168_4,01168_4_1,All public transport should be free and paid for by the state.,"If it was free, companies would not be expected to provide top service, because they are not paying customers.",-1,0.0015497244210889807,0.0038109713815791253,0.0011728087482422143,0.0011728087482422143,0.0038109713815791253
01168_4#01168_4_2,01168,01168_4,01168_4_2,All public transport should be free and paid for by the state.,A lot of public transport companies are reliable and need more customers.,1,0.00782024066472245,0.0011406574199588,0.0010560164366733053,0.0010560164366733053,0.00782024066472245
01168_4#01168_4_3,01168,01168_4,01168_4_3,All public transport should be free and paid for by the state.,Some public transport cities are already terrible; this would just increase the strain.,-1,6.873953284394691e-07,2.765631356592426e-07,4.183555812248173e-06,4.183555812248173e-06,4.183555812248173e-06
01168_4#01168_4_4,01168,01168_4,01168_4_4,All public transport should be free and paid for by the state.,The government would be forced to improve public transport.,1,5.6003730305689906e-06,1.7966794755210556e-07,6.948757172830794e-07,6.948757172830794e-07,5.6003730305689906e-06
01174_22#01174_22_1,01174,01174_22,01174_22_1,You should belong to the Democratic rather than Republican party.,Republicans believe fairness comes from unregulated competition,-1,4.39416238754165e-07,2.4023557454679447e-07,5.4673305460368334e-05,5.4673305460368334e-05,5.4673305460368334e-05
01174_22#01174_22_2,01174,01174_22,01174_22_2,You should belong to the Democratic rather than Republican party.,Democrats believe public good is paramount,1,6.839575357531632e-06,8.09861009319555e-06,1.935607099648824e-05,1.935607099648824e-05,1.935607099648824e-05
01174_22#01174_22_3,01174,01174_22,01174_22_3,You should belong to the Democratic rather than Republican party.,Republicans believe individual rights are paramount,-1,1.010557040742027e-06,1.4704843288146952e-06,6.577819081356262e-06,6.577819081356262e-06,6.577819081356262e-06
01174_22#01174_22_4,01174,01174_22,01174_22_4,You should belong to the Democratic rather than Republican party.,Dems believe in ensuring equal opportunity through social programs,1,1.1505437808864809e-07,1.7497763181173478e-08,3.3580632358710605e-07,3.3580632358710605e-07,3.3580632358710605e-07
01174_22#01174_22_5,01174,01174_22,01174_22_5,You should belong to the Democratic rather than Republican party.,"Republicans believe in equality of opportunity, not outcomes",-1,4.712013539586154e-07,4.667262861322778e-08,6.559105942623786e-06,6.559105942623786e-06,6.559105942623786e-06
01179_15#01179_15_1,01179,01179_15,01179_15_1,Abortions of any kind should be permitted.,Poor women are disproportionately deprived choice when abortion is illegal.,1,0.0,0.0,0.0,0.0,0.0
01179_15#01179_15_2,01179,01179_15,01179_15_2,Abortions of any kind should be permitted.,"Abortion ban may harm poor, but does not change case against it",-1,0.0,0.0,0.0,0.0,0.0
01179_15#01179_15_3,01179,01179_15,01179_15_3,Abortions of any kind should be permitted.,Abortion disproportionately affects the African American community,-1,0.0,0.0,0.0,0.0,0.0
01179_26#01179_26_1,01179,01179_26,01179_26_1,Abortions of any kind should be permitted.,"""Back alley"" abortions are more frequent when abortion is illegal.",1,0.0,0.0,0.0,0.0,0.0
01179_26#01179_26_2,01179,01179_26,01179_26_2,Abortions of any kind should be permitted.,Abortion is no more risky or harmful than ordinary birth.,1,0.0,0.0,0.0,0.0,0.0
01179_26#01179_26_3,01179,01179_26,01179_26_3,Abortions of any kind should be permitted.,Abortions are very risky and hazardous to the women,-1,0.0,0.0,0.0,0.0,0.0
01179_26#01179_26_4,01179,01179_26,01179_26_4,Abortions of any kind should be permitted.,Legal abortions safer than black market abortions,1,0.0,0.0,0.0,0.0,0.0
01179_26#01179_26_5,01179,01179_26,01179_26_5,Abortions of any kind should be permitted.,Abortions are emotionally and psychologically unsafe.,-1,0.0,0.0,0.0,0.0,0.0
01179_26#01179_26_6,01179,01179_26,01179_26_6,Abortions of any kind should be permitted.,"Preventing ""back alley"" abortions are no reason to legalize abortion.",-1,0.0,0.0,0.0,0.0,0.0
01179_26#01179_26_7,01179,01179_26,01179_26_7,Abortions of any kind should be permitted.,Abortion does not negatively affect a womans sexual functions,1,0.0,0.0,0.0,0.0,0.0
01183_11#01183_11_1,01183,01183_11,01183_11_1,The US government should bailout US automakers (even with a low-interest loan).,Autos are exceptional; other companies will not get bailouts.,1,6.245416776262503e-09,1.7720817230611114e-08,8.399159148119711e-09,8.399159148119711e-09,1.7720817230611114e-08
01183_11#01183_11_2,01183,01183_11,01183_11_2,The US government should bailout US automakers (even with a low-interest loan).,Saving economy outweighs moral hazard of auto bailout,1,0.0,0.0,0.0,0.0,0.0
01183_11#01183_11_3,01183,01183_11,01183_11_3,The US government should bailout US automakers (even with a low-interest loan).,Moral hazard: US auto bailout would reward failure,-1,1.1909895780265248e-06,2.035306367272538e-07,9.447104130004599e-09,9.447104130004599e-09,1.1909895780265248e-06
01183_11#01183_11_4,01183,01183_11,01183_11_4,The US government should bailout US automakers (even with a low-interest loan).,Auto bailout will encourage other companies to seek bailouts,-1,1.6961734232086814e-08,2.3091840255113406e-07,2.2810974376308386e-08,2.2810974376308386e-08,2.3091840255113406e-07
01183_11#01183_11_5,01183,01183_11,01183_11_5,The US government should bailout US automakers (even with a low-interest loan).,Auto bailout encourages special-interest deal-making,-1,0.0,0.0,0.0,0.0,0.0
01183_4#01183_4_1,01183,01183_4,01183_4_1,The US government should bailout US automakers (even with a low-interest loan).,Auto companies key to US energy security,1,0.0,0.0,0.0,0.0,0.0
01183_4#01183_4_2,01183,01183_4,01183_4_2,The US government should bailout US automakers (even with a low-interest loan).,US automakers no longer essential to US security,-1,0.0,0.0,0.0,0.0,0.0
01183_4#01183_4_3,01183,01183_4,01183_4_3,The US government should bailout US automakers (even with a low-interest loan).,Auto companies are key to US military during war,1,0.0,0.0,0.0,0.0,0.0
01247_10#01247_10_1,01247,01247_10,01247_10_1,People serving prison sentences should be permitted to vote in elections.,Prisoners must be able to influence world they will re-enter.,1,0.002661070983041435,3.6051181596526707e-05,7.900701581074625e-05,7.900701581074625e-05,0.002661070983041435
01247_10#01247_10_10,01247,01247_10,01247_10_10,People serving prison sentences should be permitted to vote in elections.,There is no state interest in denying prisoners a vote,1,0.0,0.0,0.0,0.0,0.0
01247_10#01247_10_11,01247,01247_10,01247_10_11,People serving prison sentences should be permitted to vote in elections.,Prisoners have a right to express interests through voting,1,0.01114660398425221,0.00012077656736800929,0.0010140376046975286,0.0010140376046975286,0.01114660398425221
01247_10#01247_10_12,01247,01247_10,01247_10_12,People serving prison sentences should be permitted to vote in elections.,Only qualified citizens have a right to vote,-1,0.7802758037106131,4.357331342891149e-05,2.1346849155427142e-05,2.1346849155427142e-05,0.7802758037106131
01247_10#01247_10_13,01247,01247_10,01247_10_13,People serving prison sentences should be permitted to vote in elections.,Prisoners deserve voting privileges only when they act responsibly.,-1,8.690535470470403e-05,7.02721053936617e-06,1.2539855053990494e-05,1.2539855053990494e-05,8.690535470470403e-05
01247_10#01247_10_14,01247,01247_10,01247_10_14,People serving prison sentences should be permitted to vote in elections.,Prisoners lose freedom; whats problem with losing vote?,-1,0.000447443904167727,0.010072997236109337,0.0003155470529536998,0.0003155470529536998,0.010072997236109337
01247_10#01247_10_2,01247,01247_10,01247_10_2,People serving prison sentences should be permitted to vote in elections.,If minors have no right to vote neither should prisoners,-1,3.7801970096384306e-06,4.772038930318148e-08,0.0002215320231406043,0.0002215320231406043,0.0002215320231406043
01247_10#01247_10_3,01247,01247_10,01247_10_3,People serving prison sentences should be permitted to vote in elections.,Criminals forfeit the right to vote,-1,0.0008641482256002969,0.058635966243311716,2.847294242141933e-06,2.847294242141933e-06,0.058635966243311716
01247_10#01247_10_4,01247,01247_10,01247_10_4,People serving prison sentences should be permitted to vote in elections.,Voting is a privilege (not right) that criminals fairly lose.,-1,1.2295668405195028e-07,4.7407232177059596e-07,1.0008691340459823e-07,1.0008691340459823e-07,4.7407232177059596e-07
01247_10#01247_10_5,01247,01247_10,01247_10_5,People serving prison sentences should be permitted to vote in elections.,"Prisoners retain many rights, including the right to vote",1,0.000689089896283936,0.0011370637004557056,0.00011718077842095711,0.00011718077842095711,0.0011370637004557056
01247_10#01247_10_6,01247,01247_10,01247_10_6,People serving prison sentences should be permitted to vote in elections.,Prisoners are unfit for society so unfit to vote,-1,1.2115808873689195e-05,2.4830104476369983e-05,0.00012991318477894665,0.00012991318477894665,0.00012991318477894665
01247_10#01247_10_7,01247,01247_10,01247_10_7,People serving prison sentences should be permitted to vote in elections.,"Most prisoners don""t care about voting",-1,5.681453698905822e-07,3.884157942565888e-06,2.2765703650425727e-05,2.2765703650425727e-05,2.2765703650425727e-05
01247_10#01247_10_8,01247,01247_10,01247_10_8,People serving prison sentences should be permitted to vote in elections.,We cannot assume that they do not wish to vote.,1,0.0006259577589020266,0.031075247676932125,0.00019088630443810832,0.00019088630443810832,0.031075247676932125
01247_10#01247_10_9,01247,01247_10,01247_10_9,People serving prison sentences should be permitted to vote in elections.,Prisoners interests are represented by NGOs and others,-1,6.632373896530344e-06,1.4361732699013336e-05,0.0001529003212547843,0.0001529003212547843,0.0001529003212547843
01247_13#01247_13_1,01247,01247_13,01247_13_1,People serving prison sentences should be permitted to vote in elections.,Rehabilitation is main goal (not punishment); voting helps,1,0.0004230955088485582,1.7905271720991457e-05,4.428630076601056e-07,4.428630076601056e-07,0.0004230955088485582
01247_13#01247_13_2,01247,01247_13,01247_13_2,People serving prison sentences should be permitted to vote in elections.,Prisoner voting undermines punishment and so rehabilitation.,-1,9.800154848788663e-07,8.225657383618421e-07,4.576793023394449e-07,4.576793023394449e-07,9.800154848788663e-07
01247_13#01247_13_3,01247,01247_13,01247_13_3,People serving prison sentences should be permitted to vote in elections.,"Prisoner voting offers dignity, aids rehabilitation",1,1.1382363523571032e-07,3.4397451605607753e-09,4.436148955779689e-08,4.436148955779689e-08,1.1382363523571032e-07
01247_13#01247_13_4,01247,01247_13,01247_13_4,People serving prison sentences should be permitted to vote in elections.,"Voting offers prisoners a sense of citizenship, reintegration",1,0.0,0.0,0.0,0.0,0.0
01273_2#01273_2_1,01273,01273_2,01273_2_1,Delegates from Florida and Michigan should be alloted in the 2008 US elections.,Florida voters were sufficiently informed despite not being campaigned to.,1,4.874099716573474e-05,4.862452295456946e-06,0.00015886474960223924,0.00015886474960223924,0.00015886474960223924
01273_2#01273_2_2,01273,01273_2,01273_2_2,Delegates from Florida and Michigan should be alloted in the 2008 US elections.,Seating delegates based on first 2008 Florida and Michigan primaries would punish candidates that did not campaign there.,-1,2.8704102367886942e-05,1.870255460537548e-06,4.401426140049553e-07,4.401426140049553e-07,2.8704102367886942e-05
01273_2#01273_2_3,01273,01273_2,01273_2_3,Delegates from Florida and Michigan should be alloted in the 2008 US elections.,The Jan. 29th Michigan and Florida primaries represent the public will,1,6.731358871039379e-07,9.205593412088752e-08,1.0644251067954741e-05,1.0644251067954741e-05,1.0644251067954741e-05
01273_2#01273_2_4,01273,01273_2,01273_2_4,Delegates from Florida and Michigan should be alloted in the 2008 US elections.,"Without candidate campaigns in Michigan and Florida primaries, voters were uninformed.",-1,4.0002518564910747e-07,5.553620941999997e-07,6.845141820598231e-07,6.845141820598231e-07,6.845141820598231e-07
00121_2#00121_2_1,00121,00121_2,00121_2_1,The UN should increase humanitarian aid to poor nations.,UNs moral obligations to the poor are limited by funding.,-1,0.0,0.0,0.0,0.0,0.0
00121_2#00121_2_2,00121,00121_2,00121_2_2,The UN should increase humanitarian aid to poor nations.,Humanitarian aid is often used to perpetuate war,-1,1.3512598057973561e-13,1.2003760801233787e-12,7.856341107102832e-10,7.856341107102832e-10,7.856341107102832e-10
00121_2#00121_2_3,00121,00121_2,00121_2_3,The UN should increase humanitarian aid to poor nations.,Increasing aid to poor countries simply morally good.,1,0.0,0.0,0.0,0.0,0.0
00121_2#00121_2_4,00121,00121_2,00121_2_4,The UN should increase humanitarian aid to poor nations.,Recession increases need for humanitarian aid.,1,0.0,0.0,0.0,0.0,0.0
00121_2#00121_2_5,00121,00121_2,00121_2_5,The UN should increase humanitarian aid to poor nations.,Humanitarian aid often contributes to corruption.,-1,9.32278855490547e-13,1.4860244005366347e-12,1.5458524301377079e-09,1.5458524301377079e-09,1.5458524301377079e-09
00166_9#00166_9_1,00166,00166_9,00166_9_1,Hydrogen vehicles should be a major part of strategies to fight global warming.,Leaked hydrogen damages the environment like chlorofluorocarbons.,-1,1.7743284888575704e-10,5.003081275000517e-10,5.90839003754069e-10,5.90839003754069e-10,5.90839003754069e-10
00166_9#00166_9_2,00166,00166_9,00166_9_2,Hydrogen vehicles should be a major part of strategies to fight global warming.,Its OK to use more energy to make hydrogen than is obtained out,1,0.0,0.0,0.0,0.0,0.0
00166_9#00166_9_3,00166,00166_9,00166_9_3,Hydrogen vehicles should be a major part of strategies to fight global warming.,Too much energy required to compress hydrogen for cars,-1,0.0,0.0,0.0,0.0,0.0
00166_9#00166_9_4,00166,00166_9,00166_9_4,Hydrogen vehicles should be a major part of strategies to fight global warming.,Clean materials and processes can be used to produce hydrogen,1,4.416230515423533e-08,2.5287813711627224e-09,2.113885677340357e-07,2.113885677340357e-07,2.113885677340357e-07
00197_10#00197_10_1,00197,00197_10,00197_10_1,Australia should become a republic rather than continue as a constitutional monarchy.,An Australian president will be no more political than the monarchy,1,2.9881415457205213e-05,5.85877095132734e-06,0.0003582370918854347,0.0003582370918854347,0.0003582370918854347
00197_10#00197_10_11,00197,00197_10,00197_10_11,Australia should become a republic rather than continue as a constitutional monarchy.,The Australian monarchy provides a non-political check on the political process.,-1,7.240818297135415e-08,3.4667155172977483e-09,5.69506691083048e-07,5.69506691083048e-07,5.69506691083048e-07
00197_10#00197_10_12,00197,00197_10,00197_10_12,Australia should become a republic rather than continue as a constitutional monarchy.,Republicanism in Australia incites tensions between Protestants and Catholics.,-1,1.1572213966765616e-08,2.986813591952919e-09,1.0560563685429125e-08,1.0560563685429125e-08,1.1572213966765616e-08
00197_10#00197_10_2,00197,00197_10,00197_10_2,Australia should become a republic rather than continue as a constitutional monarchy.,The Australian monarchy is not necessary for national security post Cold War.,1,3.8601924856354524e-07,3.765326675052241e-07,3.303553139641104e-08,3.303553139641104e-08,3.8601924856354524e-07
00197_10#00197_10_3,00197,00197_10,00197_10_3,Australia should become a republic rather than continue as a constitutional monarchy.,Arguing that republicanism is divisive is a status quo argument,1,1.3661731988553429e-06,3.664934189937877e-07,2.997983116988597e-07,2.997983116988597e-07,1.3661731988553429e-06
