pairid,argid,propid_to,propid_from,text_to,text_from,relation
00791_2#00791_2_3,00791,00791_2,00791_2_3,Atheism is a sound (un)religious philosophy in the modern world.,Communism has nothing to do with atheism.,1
00979_1#00979_1_1,00979,00979_1,00979_1_1,Evolution is fact rather than fiction.,"Far from undermining so-called Darwinism, the Duck-Billed Platypus is emphatic evidence in support of it.",1
00979_1#00979_1_2,00979,00979_1,00979_1_2,Evolution is fact rather than fiction.,Another thought provoker for evolutionists is the development of human languages.,-1
00979_1#00979_1_3,00979,00979_1,00979_1_3,Evolution is fact rather than fiction.,The Duck- billed platypus is an excellent example of a living creature which completely undermines Darwinism.,-1
01161_5#01161_5_1,01161,01161_5,01161_5_1,Background and context.,RE: The probability that life could have arisen by chance is ridiculously small.,-1
01161_5#01161_5_10,01161,01161_5,01161_5_10,Background and context.,Poor design.,-1
01161_5#01161_5_2,01161,01161_5,01161_5_2,Background and context.,RE: proteins were the object of the test and not organisms.,-1
01161_5#01161_5_4,01161,01161_5,01161_5_4,Background and context.,"God created all things well, all defects have occurred since.",1
01161_5#01161_5_7,01161,01161_5,01161_5_7,Background and context.,The fact that proteins were the object of the test and not organisms does not disqualify the test.,1
01161_5#01161_5_9,01161,01161_5,01161_5_9,Background and context.,The probability that life could have arisen by chance is ridiculously small.,1
01250_16#01250_16_1,01250,01250_16,01250_16_1,The assassination of a dictator can be justified.,Targeted assassinations disrupt negotiations/ceasefires with militants,-1
01250_16#01250_16_10,01250,01250_16,01250_16_10,The assassination of a dictator can be justified.,Assassinations create martyrs and increase popularity of terrorist groups,-1
01250_16#01250_16_11,01250,01250_16,01250_16_11,The assassination of a dictator can be justified.,There is no evidence that assassinations effectively reduce terrorism,-1
01250_16#01250_16_12,01250,01250_16,01250_16_12,The assassination of a dictator can be justified.,Targeted assassinations keep terrorists on-the-run and distracted,1
01250_16#01250_16_13,01250,01250_16,01250_16_13,The assassination of a dictator can be justified.,Targeted assassinations disrupt and reduce terrorist attacks,1
01250_16#01250_16_14,01250,01250_16,01250_16_14,The assassination of a dictator can be justified.,"Assassinations don""t incite terrorism; terrorists are already fully motivated",1
01250_16#01250_16_15,01250,01250_16,01250_16_15,The assassination of a dictator can be justified.,Targeted assassinations can damage the intelligence gathering of a state,-1
01250_16#01250_16_2,01250,01250_16,01250_16_2,The assassination of a dictator can be justified.,Life imprisonment better punishes a terrorist than assassination (martyrdom),-1
01250_16#01250_16_3,01250,01250_16,01250_16_3,The assassination of a dictator can be justified.,Targeted assassinations significantly disrupt terrorist organizations,1
01250_16#01250_16_4,01250,01250_16,01250_16_4,The assassination of a dictator can be justified.,Targeted assassinations have a deterrent effect on would-be terrorists,1
01250_16#01250_16_5,01250,01250_16,01250_16_5,The assassination of a dictator can be justified.,Assassinations protect publics from terrorism; even while its hard to measure,1
01250_16#01250_16_6,01250,01250_16,01250_16_6,The assassination of a dictator can be justified.,"Assassinating terrorist leaders is justified when they are ""combatants""",1
01250_16#01250_16_7,01250,01250_16,01250_16_7,The assassination of a dictator can be justified.,Targeted assassinations are consistent with international law,1
01250_16#01250_16_8,01250,01250_16,01250_16_8,The assassination of a dictator can be justified.,Assassinating terrorists only breeds greater resentment and terrorism,-1
01250_16#01250_16_9,01250,01250_16,01250_16_9,The assassination of a dictator can be justified.,"Targeted assassinations undermine norms of warfare in terrorists"" favor",-1
00007_9#00007_9_1,00007,00007_9,00007_9_1,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Enhanced interrogations undermine Americas moral legitimacy.,-1
00007_9#00007_9_2,00007,00007_9,00007_9_2,"The ""enhanced interrogation techniques"" of the Bush administration were justified.","Americans won""t tolerate lost lives for political correctness",1
00007_9#00007_9_3,00007,00007_9,00007_9_3,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Enhanced interrogations delegitimize practice of interrogation,-1
00007_9#00007_9_4,00007,00007_9,00007_9_4,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Majority of Americans believe harsh interrogations justified,1
00007_9#00007_9_5,00007,00007_9,00007_9_5,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Enhanced interrogations foment anti-Americanism and terrorism,-1
00007_9#00007_9_6,00007,00007_9,00007_9_6,"The ""enhanced interrogation techniques"" of the Bush administration were justified.",Enhanced techniques hamper work with allies against terrorism.,-1
00120_5#00120_5_1,00120,00120_5,00120_5_1,Social networking sites are generally beneficial to our world.,Social networking sites create great opportunities for professional networking.,1
00120_5#00120_5_2,00120,00120_5,00120_5_2,Social networking sites are generally beneficial to our world.,Social networking sites enable individuals to move toward making face-to-face meetings:,1
00120_5#00120_5_3,00120,00120_5,00120_5_3,Social networking sites are generally beneficial to our world.,Social networking sites do not allow for trusting professional relationships to be established.,-1
00196_4#00196_4_1,00196,00196_4,00196_4_1,Capitalism is the superior system to socialism.,Market prices are always fair prices.,1
00196_4#00196_4_2,00196,00196_4,00196_4_2,Capitalism is the superior system to socialism.,No transaction happens in capitalism unless both parties benefit.,1
00196_4#00196_4_3,00196,00196_4,00196_4_3,Capitalism is the superior system to socialism.,Markets often go against human interests and values.,-1
00196_4#00196_4_4,00196,00196_4,00196_4_4,Capitalism is the superior system to socialism.,Market prices do not reflect social cost,-1
00196_4#00196_4_5,00196,00196_4,00196_4_5,Capitalism is the superior system to socialism.,State guaranteed prices lead to shortages.,1
00196_4#00196_4_6,00196,00196_4,00196_4_6,Capitalism is the superior system to socialism.,Payment schemes under markets are unfair.,-1
00290_12#00290_12_1,00290,00290_12,00290_12_1,The Arizona illegal immigration law is good.,Arizona law burdens immigrants who must carry papers,-1
00290_12#00290_12_2,00290,00290_12,00290_12_2,The Arizona illegal immigration law is good.,Arizona merely enforces law that aliens carry papers,1
00290_12#00290_12_3,00290,00290_12,00290_12_3,The Arizona illegal immigration law is good.,Being forced to show papers in Arizona is no big deal,1
00290_12#00290_12_4,00290,00290_12,00290_12_4,The Arizona illegal immigration law is good.,Nothing to worry about as long as you have papers.,1
00423_12#00423_12_1,00423,00423_12,00423_12_1,The bombing of Hiroshima and Nagasaki was justified.,Conventional bombs would have been more moral,-1
00423_12#00423_12_2,00423,00423_12,00423_12_2,The bombing of Hiroshima and Nagasaki was justified.,Conventional bombs would not kill so many people.,-1
00423_12#00423_12_3,00423,00423_12,00423_12_3,The bombing of Hiroshima and Nagasaki was justified.,Conventional bombs would not have forced a surrender,1
00458_2#00458_2_1,00458,00458_2,00458_2_1,A no fly zone over Libya is a good idea.,No-fly zone does not include putting troops on the ground.,1
00458_2#00458_2_2,00458,00458_2,00458_2_2,A no fly zone over Libya is a good idea.,No fly zone would create expectation of help elsewhere.,-1
00458_2#00458_2_3,00458,00458_2,00458_2_3,A no fly zone over Libya is a good idea.,No-fly zone requires a backup-plan in case it fails,-1
00458_2#00458_2_4,00458,00458_2,00458_2_4,A no fly zone over Libya is a good idea.,Libyan no-fly zone would evolve into larger military engagement,-1
00458_2#00458_2_5,00458,00458_2,00458_2_5,A no fly zone over Libya is a good idea.,No-fly zone does not require bombing Libyan air bases.,1
00458_2#00458_2_6,00458,00458_2,00458_2_6,A no fly zone over Libya is a good idea.,"No-fly zone sends message: world won""t tolerate tyranny",1
00458_2#00458_2_7,00458,00458_2,00458_2_7,A no fly zone over Libya is a good idea.,Past No-fly zones have led to further military intervention,-1
00494_3#00494_3_1,00494,00494_3,00494_3_1,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Co-ops are more community-focused than insurance companies,1
00494_3#00494_3_2,00494,00494_3,00494_3_2,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Health insurance co-ops can scale to compete with private insurers,1
00494_3#00494_3_3,00494,00494_3,00494_3_3,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Co-ops can scale in a decentralized and community-focused manner.,1
00494_3#00494_3_4,00494,00494_3,00494_3_4,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Co-ops cannot scale to compete with insurers like public plan,-1
00494_3#00494_3_5,00494,00494_3,00494_3_5,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Health co-ops cannot scale to solve problem of uninsured,-1
00494_3#00494_3_6,00494,00494_3,00494_3_6,Health insurance co-ops are a good model. They are a good alternative to public insurance.,"Insurance co-ops self-sustaining, need no taxpayer support",1
00494_3#00494_3_7,00494,00494_3,00494_3_7,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Health insurance co-ops cannot scale as quickly as public insurance,-1
00494_3#00494_3_8,00494,00494_3,00494_3_8,Health insurance co-ops are a good model. They are a good alternative to public insurance.,"Co-ops lack scale to negotiate prices of drugs, services",-1
00567_5#00567_5_1,00567,00567_5,00567_5_1,The US and NATO mission in Libya is legal and justifiable.,US/NATO has authorization of Middle East states.,1
00567_5#00567_5_2,00567,00567_5,00567_5_2,The US and NATO mission in Libya is legal and justifiable.,US joined international coalition in Libya,1
00567_5#00567_5_3,00567,00567_5,00567_5_3,The US and NATO mission in Libya is legal and justifiable.,US engagement in Libya has UN/NATO legal authorization.,1
00567_5#00567_5_4,00567,00567_5,00567_5_4,The US and NATO mission in Libya is legal and justifiable.,US/NATO have acted consistent with UN Res 1973.,1
00567_5#00567_5_5,00567,00567_5,00567_5_5,The US and NATO mission in Libya is legal and justifiable.,US responded to Qadhafi loss of sovereign legitimacy,1
00567_5#00567_5_6,00567,00567_5,00567_5_6,The US and NATO mission in Libya is legal and justifiable.,UN approval for Libyan engagement dilutes US authority.,-1
00567_5#00567_5_7,00567,00567_5,00567_5_7,The US and NATO mission in Libya is legal and justifiable.,US Libyan intervention wrongly rests on NATO authority.,-1
00567_5#00567_5_8,00567,00567_5,00567_5_8,The US and NATO mission in Libya is legal and justifiable.,UN authorization of Libyan war no substitute for Congr approval,-1
00567_6#00567_6_1,00567,00567_6,00567_6_1,The US and NATO mission in Libya is legal and justifiable.,War Powers covers US forces playing supporting role in wars.,-1
00567_6#00567_6_10,00567,00567_6,00567_6_10,The US and NATO mission in Libya is legal and justifiable.,US is committing acts of war in Libya; War Powers apply.,-1
00567_6#00567_6_11,00567,00567_6,00567_6_11,The US and NATO mission in Libya is legal and justifiable.,US gave full command in Libya to NATO on April 1,1
00567_6#00567_6_12,00567,00567_6,00567_6_12,The US and NATO mission in Libya is legal and justifiable.,US action in Libya does not amount to hostilities/war,1
00567_6#00567_6_13,00567,00567_6,00567_6_13,The US and NATO mission in Libya is legal and justifiable.,US ground forces not engaged in hostilities in Libya.,1
00567_6#00567_6_14,00567,00567_6,00567_6_14,The US and NATO mission in Libya is legal and justifiable.,Regime change is not a military objective in Libya.,1
00567_6#00567_6_2,00567,00567_6,00567_6_2,The US and NATO mission in Libya is legal and justifiable.,US maintained limited role in Libya campaign.,1
00567_6#00567_6_3,00567,00567_6,00567_6_3,The US and NATO mission in Libya is legal and justifiable.,US merely supporting NATO; War Powers inapplicable,1
00567_6#00567_6_4,00567,00567_6,00567_6_4,The US and NATO mission in Libya is legal and justifiable.,US is clearly engaged in sustained hostilities in Libya,-1
00567_6#00567_6_5,00567,00567_6,00567_6_5,The US and NATO mission in Libya is legal and justifiable.,"Troops needn""t be on ground to call Libya engagement war.",-1
00567_6#00567_6_6,00567,00567_6,00567_6_6,The US and NATO mission in Libya is legal and justifiable.,Costs of engagement in Libya help show its a war.,-1
00567_6#00567_6_7,00567,00567_6,00567_6_7,The US and NATO mission in Libya is legal and justifiable.,US has lead role in NATO in Libyan war.,-1
00567_6#00567_6_8,00567,00567_6,00567_6_8,The US and NATO mission in Libya is legal and justifiable.,Obama implies drone warfare OK without Congr approval.,-1
00567_6#00567_6_9,00567,00567_6,00567_6_9,The US and NATO mission in Libya is legal and justifiable.,"Under $1b in spending can hardly be called a ""war.""",1
00578_1#00578_1_1,00578,00578_1,00578_1_1,Global warming is chiefly caused by humans not by natural phenomenon.,Greenland ice-caps are melting at an accelerating rate,1
00578_1#00578_1_10,00578,00578_1,00578_1_10,Global warming is chiefly caused by humans not by natural phenomenon.,Glaciers and ice-sheets melt and re-form annually.,-1
00578_1#00578_1_12,00578,00578_1,00578_1_12,Global warming is chiefly caused by humans not by natural phenomenon.,The atmosphere has responded as expected to human-induced global warming,1
00578_1#00578_1_13,00578,00578_1,00578_1_13,Global warming is chiefly caused by humans not by natural phenomenon.,"The effects of global warming are clear, but they don""t demonstrate human-causes:",-1
00578_1#00578_1_14,00578,00578_1,00578_1_14,Global warming is chiefly caused by humans not by natural phenomenon.,"The acceleration of global warming could be natural, and therefore the accelerated on-the-ground effects could be natural as well.",-1
00578_1#00578_1_3,00578,00578_1,00578_1_3,Global warming is chiefly caused by humans not by natural phenomenon.,Ocean layers have warmed in a manner that indicates human-causes of global warming:,1
00578_1#00578_1_4,00578,00578_1,00578_1_4,Global warming is chiefly caused by humans not by natural phenomenon.,The melting of the arctic ice caps has increased dramatically with human emissions,1
00578_1#00578_1_5,00578,00578_1,00578_1_5,Global warming is chiefly caused by humans not by natural phenomenon.,"Spatial patterns of heat-trappings are concentrated around populated areas, indicating human causes:",1
00578_1#00578_1_6,00578,00578_1,00578_1_6,Global warming is chiefly caused by humans not by natural phenomenon.,Increase in atmospheric moisture is tied to human emissions,1
00578_1#00578_1_7,00578,00578_1,00578_1_7,Global warming is chiefly caused by humans not by natural phenomenon.,Glacier melting globally demonstrates human-causes of global warming,1
00578_1#00578_1_8,00578,00578_1,00578_1_8,Global warming is chiefly caused by humans not by natural phenomenon.,The atmosphere is not warming in the way human-caused global warming theories would predict.,-1
00578_1#00578_1_9,00578,00578_1,00578_1_9,Global warming is chiefly caused by humans not by natural phenomenon.,Atmospheric shifts show human fingerprints on global warming,1
00603_12#00603_12_1,00603,00603_12,00603_12_1,Libertarianism is a sound political philosophy.,Libertarians oppose all restrictions on freedom of speech,1
00603_12#00603_12_2,00603,00603_12,00603_12_2,Libertarianism is a sound political philosophy.,It is important for society to set some moral boundaries.,-1
00603_12#00603_12_4,00603,00603_12,00603_12_4,Libertarianism is a sound political philosophy.,Libertarians call for repealing all laws regulating sex,1
00603_12#00603_12_5,00603,00603_12,00603_12_5,Libertarianism is a sound political philosophy.,Libertarians are opposed to government intervention on all social issues.,1
00618_5#00618_5_1,00618,00618_5,00618_5_1,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Health insurance co-ops are too unestablished to rely on,-1
00618_5#00618_5_2,00618,00618_5,00618_5_2,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Health care co-ops have a history of insolvency and failure,-1
00618_5#00618_5_3,00618,00618_5,00618_5_3,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Widespread co-op model can succeed in health insurance,1
00618_5#00618_5_4,00618,00618_5,00618_5_4,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Co-ops are a successful model for health insurance,1
00618_5#00618_5_5,00618,00618_5,00618_5_5,Health insurance co-ops are a good model. They are a good alternative to public insurance.,Co-ops will not necessarily work in health insurance,-1
00645_6#00645_6_1,00645,00645_6,00645_6_1,Offshore drilling is a good idea. Obama was right to open new drilling in 2010.,The majority of Americans support offshore drilling.,1
00645_6#00645_6_2,00645,00645_6,00645_6_2,Offshore drilling is a good idea. Obama was right to open new drilling in 2010.,Offshore drilling is consistent with international norms,1
00645_6#00645_6_3,00645,00645_6,00645_6_3,Offshore drilling is a good idea. Obama was right to open new drilling in 2010.,More and more favor offshore drilling during economic difficulty,1
00648_4#00648_4_1,00648,00648_4,00648_4_1,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,"Government should buy stock in banks, not just bail them out",-1
00648_4#00648_4_2,00648,00648_4,00648_4_2,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,"Money supply can increase liquidity, solve crisis",-1
00648_4#00648_4_3,00648,00648_4,00648_4_3,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Government can cut taxes to increase liquidity,-1
00648_4#00648_4_4,00648,00648_4,00648_4_4,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,"Mortgages should be propped up from bottom-up, not top-down",-1
00648_4#00648_4_5,00648,00648_4,00648_4_5,The $700 billion bailout plan for the 2008 US financial crisis is a good idea.,Paulson Plan justified without warrants; taxpayers still protected,1
00688_2#00688_2_1,00688,00688_2,00688_2_1,Web 2.0 citizen journalism is having a positive effect worldwide.,"""this latest, democratized culture, this user-generated content, is actually undermining many of our most valuable institutions, including movie studios, music labels, newspapers and publishing.""",1
00688_2#00688_2_3,00688,00688_2,00688_2_3,Web 2.0 citizen journalism is having a positive effect worldwide.,"Ads are increasingly being wound into or next to content as the primary means of revenue generation, and that the presence of such ads undermines the value of content:",1
00688_2#00688_2_4,00688,00688_2,00688_2_4,Web 2.0 citizen journalism is having a positive effect worldwide.,"""The fact is that most user-created content on the Web is not challenging the authority of a traditional expert.",-1
00688_2#00688_2_5,00688,00688_2,00688_2_5,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0 technology is enabling market and democratic forces to be excercised more efficiently, and since these forces are long-term success-stories, Web 2.0 technologies are here to stay:",-1
00688_2#00688_2_6,00688,00688_2,00688_2_6,Web 2.0 citizen journalism is having a positive effect worldwide.,"The ""free"" content of Web 2.0 is not very different than the mostly free content of tv, radio, and newspapers; ads are where these business make their money:",-1
00688_2#00688_2_7,00688,00688_2,00688_2_7,Web 2.0 citizen journalism is having a positive effect worldwide.,The music industry is actually doing fine:,-1
00688_2#00688_2_8,00688,00688_2,00688_2_8,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0s democratizing and decentralizing effect causes a loss of focused, common culture, which could formally be set by an elite group:",1
00688_2#00688_2_9,00688,00688_2,00688_2_9,Web 2.0 citizen journalism is having a positive effect worldwide.,"Web 2.0 will not replace other, more traditional mediums of culture and information, but will simply be an addition on top of these mediums:",-1
00732_5#00732_5_1,00732,00732_5,00732_5_1,Torture is justified.,Leaders must be afforded the flexibility to judge that torture is the most probable way to save hundreds of thousands of lives,1
00732_5#00732_5_10,00732,00732_5,00732_5_10,Torture is justified.,"Torture is justified in the ""ticking time-bomb"" scenario (general argument and support)",1
00732_5#00732_5_11,00732,00732_5,00732_5_11,Torture is justified.,"A one-in-a-million probability of the ""ticking time bomb"" occurring is sufficient to justify allowing torture in this scenario",1
00732_5#00732_5_12,00732,00732_5,00732_5_12,Torture is justified.,"A torture warrant allowed in only the ""ticking time-bomb"" scenario would settle the concerns of a slippery slope to abuse",1
00732_5#00732_5_13,00732,00732_5,00732_5_13,Torture is justified.,Torture is always wrong,-1
00732_5#00732_5_14,00732,00732_5,00732_5_14,Torture is justified.,Brutal killing is considered ethical in certain situations when at war.,1
00732_5#00732_5_2,00732,00732_5,00732_5_2,Torture is justified.,Torture violates the dignity of the human being,-1
00732_5#00732_5_3,00732,00732_5,00732_5_3,Torture is justified.,The ticking time-bomb scenario leads to a slippery slope of intrusion on rights,-1
00732_5#00732_5_4,00732,00732_5,00732_5_4,Torture is justified.,"The ""ticking time-bomb"" imagines an impossible scenario of perfect information",-1
00732_5#00732_5_5,00732,00732_5,00732_5_5,Torture is justified.,"The ""ticking time-bomb"" scenario is too unlikely to be legally significant",-1
00732_5#00732_5_6,00732,00732_5,00732_5_6,Torture is justified.,"Even if torture should always be illegal, it is still justified in ""the ticking time bomb"" scenario",1
00732_5#00732_5_7,00732,00732_5,00732_5_7,Torture is justified.,Torture violates protections of the vulnerable,-1
00732_5#00732_5_8,00732,00732_5,00732_5_8,Torture is justified.,Torture erodes the character of a nation and its success in the war of ideas,-1
00732_5#00732_5_9,00732,00732_5,00732_5_9,Torture is justified.,The infliction of mere pain on an evil-minded terrorist to save millions of innocent lives is an ethical trade-off,1
00791_2#00791_2_4,00791,00791_2,00791_2_4,Atheism is a sound (un)religious philosophy in the modern world.,All humans are imperfect.,-1
00791_2#00791_2_5,00791,00791_2,00791_2_5,Atheism is a sound (un)religious philosophy in the modern world.,The claim that the Nazi government was repressive of religion,1
00791_2#00791_2_6,00791,00791_2,00791_2_6,Atheism is a sound (un)religious philosophy in the modern world.,Religion has helped people better themselves and world.,-1
00791_2#00791_2_7,00791,00791_2,00791_2_7,Atheism is a sound (un)religious philosophy in the modern world.,Atheists have also had wars.,-1
00791_2#00791_2_8,00791,00791_2,00791_2_8,Atheism is a sound (un)religious philosophy in the modern world.,Just because some wars have happened in the name of religion does not mean that all people who follow the religion can be tarnished by the same brush.,-1
00791_2#00791_2_9,00791,00791_2,00791_2_9,Atheism is a sound (un)religious philosophy in the modern world.,"""Atheists have also had wars""",1
00797_3#00797_3_1,00797,00797_3,00797_3_1,Democracy is really the best form of government.,Democracies tend to progress faster.,1
00797_3#00797_3_2,00797,00797_3,00797_3_2,Democracy is really the best form of government.,Economic progress enhances democracy.,-1
00797_3#00797_3_3,00797,00797_3,00797_3_3,Democracy is really the best form of government.,Democracy is an engine of progress.,1
00836_1#00836_1_1,00836,00836_1,00836_1_1,Settlements are justified. Expansion is defensible.,Israeli settlements impede creation of Palestinian state,-1
00836_1#00836_1_2,00836,00836_1,00836_1_2,Settlements are justified. Expansion is defensible.,General statements against Israeli settlements,-1
00836_1#00836_1_3,00836,00836_1,00836_1_3,Settlements are justified. Expansion is defensible.,Israeli settlements do not impede creation of Palestine,1
00836_1#00836_1_4,00836,00836_1,00836_1_4,Settlements are justified. Expansion is defensible.,Israeli settlements taint negotiations and peace process,-1
00849_2#00849_2_1,00849,00849_2,00849_2_1,"The ""occupy"" protest movement is justified.",Occupiers wrongly seek to redistribute by dragging rich down.,-1
00849_2#00849_2_10,00849,00849_2,00849_2_10,"The ""occupy"" protest movement is justified.",Occupiers wrong to oppose bail out of financial system.,-1
00849_2#00849_2_11,00849,00849_2,00849_2_11,"The ""occupy"" protest movement is justified.","Occupiers"" ideas are often counterproductive for economy.",-1
00849_2#00849_2_12,00849,00849_2,00849_2_12,"The ""occupy"" protest movement is justified.",New regs/taxes on finance firms would cause them to leave US.,-1
00849_2#00849_2_13,00849,00849_2,00849_2_13,"The ""occupy"" protest movement is justified.",Occupiers are requesting some specific regs/taxes on Wall Street.,1
00849_2#00849_2_2,00849,00849_2,00849_2_2,"The ""occupy"" protest movement is justified.",Banking and bankers are essential to US economy.,-1
00849_2#00849_2_3,00849,00849_2,00849_2_3,"The ""occupy"" protest movement is justified.","""Taxing rich"" likely to harm middle class job-creators.",-1
00849_2#00849_2_4,00849,00849_2,00849_2_4,"The ""occupy"" protest movement is justified.","Income inequality shows wealth of rich not ""trickling down.""",1
00849_2#00849_2_5,00849,00849_2,00849_2_5,"The ""occupy"" protest movement is justified.","Occupiers protesting unemployment, student loans, healthcare costs.",1
00849_2#00849_2_6,00849,00849_2,00849_2_6,"The ""occupy"" protest movement is justified.",Occupy protests oppose corporations fighting protective regulations.,1
00849_2#00849_2_7,00849,00849_2,00849_2_7,"The ""occupy"" protest movement is justified.",Occupiers lump socially productive investors in with others.,-1
00849_2#00849_2_8,00849,00849_2,00849_2_8,"The ""occupy"" protest movement is justified.",Taxpayers actually made money on financial bailouts.,-1
00849_2#00849_2_9,00849,00849_2,00849_2_9,"The ""occupy"" protest movement is justified.",Fair for rich to pay more into system that helped them get rich,1
00924_6#00924_6_1,00924,00924_6,00924_6_1,Wave power is good.,Electro-magnetic energy from wave power threatens marine life.,-1
00924_6#00924_6_2,00924,00924_6,00924_6_2,Wave power is good.,Wave generators provide beneficial surface for some sea life,1
00924_6#00924_6_3,00924,00924_6,00924_6_3,Wave power is good.,"Wave power systems can attract predatory fish, damaging ecosystems.",-1
00924_6#00924_6_4,00924,00924_6,00924_6_4,Wave power is good.,Wave energy more about profits than environment,-1
00924_6#00924_6_5,00924,00924_6,00924_6_5,Wave power is good.,Marine life can avoid wave power systems/harm,1
00924_6#00924_6_6,00924,00924_6,00924_6_6,Wave power is good.,Wave power generators will not be placed in sensitive areas.,1
00924_6#00924_6_7,00924,00924_6,00924_6_7,Wave power is good.,Wave power is a hazard to migrating fish and whales.,-1
00924_6#00924_6_8,00924,00924_6,00924_6_8,Wave power is good.,Wave power will have a smaller impact than fossil fuel plants.,1
00924_6#00924_6_9,00924,00924_6,00924_6_9,Wave power is good.,Diffuse wave energy requires many wave generators; high impact,-1
01148_4#01148_4_1,01148,01148_4,01148_4_1,A US National Renewable Energy Standard is a good idea.,Renewable energy standard ensures market certainty for clean energy,1
01148_4#01148_4_2,01148,01148_4,01148_4_2,A US National Renewable Energy Standard is a good idea.,General statements against US Renewable Electricity Standard,-1
01151_7#01151_7_1,01151,01151_7,01151_7_1,Single-payer health care is a good idea.,A right to health care violates the rights of physicians,-1
01151_7#01151_7_2,01151,01151_7,01151_7_2,Single-payer health care is a good idea.,Universal health care can actually strengthen doctor pay,1
01151_7#01151_7_3,01151,01151_7,01151_7_3,Single-payer health care is a good idea.,The majority of doctors in the US support universal health care,1
01151_7#01151_7_4,01151,01151_7,01151_7_4,Single-payer health care is a good idea.,"Single-payer systems insure individuals, but don""t restrict doctors",1
01151_7#01151_7_5,01151,01151_7,01151_7_5,Single-payer health care is a good idea.,"Universal health care grounds doctors in professionalism, not commercialism.",1
01151_7#01151_7_6,01151,01151_7,01151_7_6,Single-payer health care is a good idea.,Universal health care would lower rewards so reduce quality of physicians,-1
01151_7#01151_7_7,01151,01151_7,01151_7_7,Single-payer health care is a good idea.,Single-payer health care over-loads doctors and burns them out,-1
01151_7#01151_7_8,01151,01151_7,01151_7_8,Single-payer health care is a good idea.,Universal health care will cut physician cash-flow and disrupt living-standards.,-1
00087_1#00087_1_1,00087,00087_1,00087_1_1,Biofuels as a solution to global warming are good.,"Biofuels burn more cleanly, cun cut greenhouse gas emissions",1
00087_1#00087_1_10,00087,00087_1,00087_1_10,Biofuels as a solution to global warming are good.,"Not enough land exists for biofuels; can""t have an impact.",-1
00087_1#00087_1_2,00087,00087_1,00087_1_2,Biofuels as a solution to global warming are good.,"Biofuels can be produced locally, reducing transport/emissions.",1
00087_1#00087_1_3,00087,00087_1,00087_1_3,Biofuels as a solution to global warming are good.,Producing biofuels requires more energy than they generate.,-1
00087_1#00087_1_4,00087,00087_1,00087_1_4,Biofuels as a solution to global warming are good.,Biofuels can power biofuel production (self-sustaining and carbon neutral).,1
00087_1#00087_1_5,00087,00087_1,00087_1_5,Biofuels as a solution to global warming are good.,Greenhouse-gas-emitting natural gas is used to make biofuel fertilizer.,-1
00087_1#00087_1_6,00087,00087_1,00087_1_6,Biofuels as a solution to global warming are good.,Biofuels production and use may increase greenhouse gas emissions,-1
00087_1#00087_1_7,00087,00087_1,00087_1_7,Biofuels as a solution to global warming are good.,It is better to plant trees and leave them.,-1
00087_1#00087_1_8,00087,00087_1,00087_1_8,Biofuels as a solution to global warming are good.,Carbon neutral biofuels only emit CO2 they draw from atmosphere,1
00087_1#00087_1_9,00087,00087_1,00087_1_9,Biofuels as a solution to global warming are good.,Developing new land for biofuels can release greenhouse gases,-1
00181_1#00181_1_1,00181,00181_1,00181_1_1,Mercenaries and private military contractors are a good idea.,"Mercenaries are a flexible, efficient tool in war.",1
00181_1#00181_1_2,00181,00181_1,00181_1_2,Mercenaries and private military contractors are a good idea.,The possibility of mercenaries pulling out will always remain a risk:,-1
00181_1#00181_1_3,00181,00181_1,00181_1_3,Mercenaries and private military contractors are a good idea.,Mercenaries are well trained and responsible to national governments.,1
00181_1#00181_1_4,00181,00181_1,00181_1_4,Mercenaries and private military contractors are a good idea.,There is no guarantee of the quality of contracted soldiers:,-1
00181_1#00181_1_5,00181,00181_1,00181_1_5,Mercenaries and private military contractors are a good idea.,This new responsible image is not entirely justified:,-1
00181_1#00181_1_6,00181,00181_1,00181_1_6,Mercenaries and private military contractors are a good idea.,Mercenaries are more likely to act lawlessly and without accountability:,-1
00206_2#00206_2_1,00206,00206_2,00206_2_1,Market mechanisms are preferable to regulatory approaches in reducing carbon emissions.,A cap-and-trade system better encourages companies to cut their carbon emissions:,1
